result/fiu_casa-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    32584, 8973201 req, miss ratio 0.1613, byte miss ratio 0.1613
result/fiu_casa-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    65168, 8973201 req, miss ratio 0.0926, byte miss ratio 0.0926
result/fiu_casa-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   130337, 8973201 req, miss ratio 0.0565, byte miss ratio 0.0565
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size      325, 8973201 req, miss ratio 0.3117, byte miss ratio 0.3117
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     1629, 8973201 req, miss ratio 0.2496, byte miss ratio 0.2496
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     3258, 8973201 req, miss ratio 0.2287, byte miss ratio 0.2287
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     6516, 8973201 req, miss ratio 0.2132, byte miss ratio 0.2132
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size    16292, 8973201 req, miss ratio 0.1897, byte miss ratio 0.1897
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size    32584, 8973201 req, miss ratio 0.1617, byte miss ratio 0.1617
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size    65168, 8973201 req, miss ratio 0.0912, byte miss ratio 0.0912
result/fiu_casa-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size   130337, 8973201 req, miss ratio 0.0546, byte miss ratio 0.0546
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      325, 8973201 req, miss ratio 0.5654, byte miss ratio 0.5654
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     1629, 8973201 req, miss ratio 0.4250, byte miss ratio 0.4250
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     3258, 8973201 req, miss ratio 0.3773, byte miss ratio 0.3773
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     6516, 8973201 req, miss ratio 0.3279, byte miss ratio 0.3279
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    16292, 8973201 req, miss ratio 0.2498, byte miss ratio 0.2498
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    32584, 8973201 req, miss ratio 0.2067, byte miss ratio 0.2067
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    65168, 8973201 req, miss ratio 0.1244, byte miss ratio 0.1244
result/fiu_casa-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   130337, 8973201 req, miss ratio 0.0592, byte miss ratio 0.0592
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      325, 8973201 req, miss ratio 0.3238, byte miss ratio 0.3238
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1629, 8973201 req, miss ratio 0.2539, byte miss ratio 0.2539
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3258, 8973201 req, miss ratio 0.2329, byte miss ratio 0.2329
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6516, 8973201 req, miss ratio 0.2144, byte miss ratio 0.2144
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    16292, 8973201 req, miss ratio 0.1905, byte miss ratio 0.1905
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    32584, 8973201 req, miss ratio 0.1721, byte miss ratio 0.1721
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    65168, 8973201 req, miss ratio 0.1149, byte miss ratio 0.1149
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   130337, 8973201 req, miss ratio 0.0607, byte miss ratio 0.0607
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      325, 8973201 req, miss ratio 0.3079, byte miss ratio 0.3079
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     1629, 8973201 req, miss ratio 0.2487, byte miss ratio 0.2487
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     3258, 8973201 req, miss ratio 0.2281, byte miss ratio 0.2281
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     6516, 8973201 req, miss ratio 0.2109, byte miss ratio 0.2109
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    16292, 8973201 req, miss ratio 0.1872, byte miss ratio 0.1872
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    32584, 8973201 req, miss ratio 0.1551, byte miss ratio 0.1551
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    65168, 8973201 req, miss ratio 0.0927, byte miss ratio 0.0927
result/fiu_casa-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   130337, 8973201 req, miss ratio 0.0513, byte miss ratio 0.0513
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      325, 8973201 req, miss ratio 0.3238, byte miss ratio 0.3238
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1629, 8973201 req, miss ratio 0.2539, byte miss ratio 0.2539
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3258, 8973201 req, miss ratio 0.2329, byte miss ratio 0.2329
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6516, 8973201 req, miss ratio 0.2144, byte miss ratio 0.2144
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    16292, 8973201 req, miss ratio 0.1905, byte miss ratio 0.1905
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    32584, 8973201 req, miss ratio 0.1721, byte miss ratio 0.1721
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    65168, 8973201 req, miss ratio 0.1149, byte miss ratio 0.1149
result/fiu_casa-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   130337, 8973201 req, miss ratio 0.0607, byte miss ratio 0.0607
