result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7232, 19868346 req, miss ratio 0.1986, byte miss ratio 0.1986
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    14465, 19868346 req, miss ratio 0.1922, byte miss ratio 0.1922
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    28931, 19868346 req, miss ratio 0.1752, byte miss ratio 0.1752
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72328, 19868346 req, miss ratio 0.1357, byte miss ratio 0.1357
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   144657, 19868346 req, miss ratio 0.1289, byte miss ratio 0.1289
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   289314, 19868346 req, miss ratio 0.1167, byte miss ratio 0.1167
result/w33.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   578628, 19868346 req, miss ratio 0.1037, byte miss ratio 0.1037
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1446, 19868346 req, miss ratio 0.3938, byte miss ratio 0.3938
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     7232, 19868346 req, miss ratio 0.3477, byte miss ratio 0.3477
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    14465, 19868346 req, miss ratio 0.3336, byte miss ratio 0.3336
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    28931, 19868346 req, miss ratio 0.3083, byte miss ratio 0.3083
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    72328, 19868346 req, miss ratio 0.2641, byte miss ratio 0.2641
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   144657, 19868346 req, miss ratio 0.2174, byte miss ratio 0.2174
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   289314, 19868346 req, miss ratio 0.1796, byte miss ratio 0.1796
result/w33.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   578628, 19868346 req, miss ratio 0.1293, byte miss ratio 0.1293
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1446, 19868346 req, miss ratio 0.2246, byte miss ratio 0.2246
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     7232, 19868346 req, miss ratio 0.2046, byte miss ratio 0.2046
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    14465, 19868346 req, miss ratio 0.1974, byte miss ratio 0.1974
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    28931, 19868346 req, miss ratio 0.1889, byte miss ratio 0.1889
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    72328, 19868346 req, miss ratio 0.1698, byte miss ratio 0.1698
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   144657, 19868346 req, miss ratio 0.1521, byte miss ratio 0.1521
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   289314, 19868346 req, miss ratio 0.1304, byte miss ratio 0.1304
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   578628, 19868346 req, miss ratio 0.1130, byte miss ratio 0.1130
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1446, 19868346 req, miss ratio 0.2075, byte miss ratio 0.2075
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     7232, 19868346 req, miss ratio 0.1989, byte miss ratio 0.1989
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    14465, 19868346 req, miss ratio 0.1928, byte miss ratio 0.1928
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    28931, 19868346 req, miss ratio 0.1798, byte miss ratio 0.1798
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    72328, 19868346 req, miss ratio 0.1468, byte miss ratio 0.1468
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   144657, 19868346 req, miss ratio 0.1305, byte miss ratio 0.1305
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   289314, 19868346 req, miss ratio 0.1163, byte miss ratio 0.1163
result/w33.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   578628, 19868346 req, miss ratio 0.1034, byte miss ratio 0.1034
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1446, 19868346 req, miss ratio 0.2246, byte miss ratio 0.2246
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     7232, 19868346 req, miss ratio 0.2046, byte miss ratio 0.2046
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    14465, 19868346 req, miss ratio 0.1974, byte miss ratio 0.1974
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    28931, 19868346 req, miss ratio 0.1889, byte miss ratio 0.1889
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    72328, 19868346 req, miss ratio 0.1698, byte miss ratio 0.1698
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   144657, 19868346 req, miss ratio 0.1521, byte miss ratio 0.1521
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   289314, 19868346 req, miss ratio 0.1304, byte miss ratio 0.1304
result/w33.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   578628, 19868346 req, miss ratio 0.1130, byte miss ratio 0.1130
