result/fiu_madmax-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     6996, 918010 req, miss ratio 0.8319, byte miss ratio 0.8319
result/fiu_madmax-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    13993, 918010 req, miss ratio 0.7883, byte miss ratio 0.7883
result/fiu_madmax-110108-112108.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    27986, 918010 req, miss ratio 0.5350, byte miss ratio 0.5350
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size       69, 918010 req, miss ratio 0.8691, byte miss ratio 0.8691
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size      349, 918010 req, miss ratio 0.8535, byte miss ratio 0.8535
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size      699, 918010 req, miss ratio 0.8507, byte miss ratio 0.8507
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     1399, 918010 req, miss ratio 0.8450, byte miss ratio 0.8450
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     3498, 918010 req, miss ratio 0.8376, byte miss ratio 0.8376
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size     6996, 918010 req, miss ratio 0.8317, byte miss ratio 0.8317
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size    13993, 918010 req, miss ratio 0.6617, byte miss ratio 0.6617
result/fiu_madmax-110108-112108.oracleGeneral                  S3FIFO-0.1000-2 cache size    27986, 918010 req, miss ratio 0.5341, byte miss ratio 0.5341
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size       69, 918010 req, miss ratio 0.9125, byte miss ratio 0.9125
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      349, 918010 req, miss ratio 0.8695, byte miss ratio 0.8695
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      699, 918010 req, miss ratio 0.8591, byte miss ratio 0.8591
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     1399, 918010 req, miss ratio 0.8489, byte miss ratio 0.8489
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     3498, 918010 req, miss ratio 0.8379, byte miss ratio 0.8379
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     6996, 918010 req, miss ratio 0.8267, byte miss ratio 0.8267
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    13993, 918010 req, miss ratio 0.6651, byte miss ratio 0.6651
result/fiu_madmax-110108-112108.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    27986, 918010 req, miss ratio 0.3674, byte miss ratio 0.3674
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size       69, 918010 req, miss ratio 0.8807, byte miss ratio 0.8807
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      349, 918010 req, miss ratio 0.8541, byte miss ratio 0.8541
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      699, 918010 req, miss ratio 0.8511, byte miss ratio 0.8511
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1399, 918010 req, miss ratio 0.8418, byte miss ratio 0.8418
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3498, 918010 req, miss ratio 0.8348, byte miss ratio 0.8348
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6996, 918010 req, miss ratio 0.8271, byte miss ratio 0.8271
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    13993, 918010 req, miss ratio 0.6743, byte miss ratio 0.6743
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    27986, 918010 req, miss ratio 0.4933, byte miss ratio 0.4933
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size       69, 918010 req, miss ratio 0.8657, byte miss ratio 0.8657
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      349, 918010 req, miss ratio 0.8533, byte miss ratio 0.8533
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      699, 918010 req, miss ratio 0.8505, byte miss ratio 0.8505
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     1399, 918010 req, miss ratio 0.8442, byte miss ratio 0.8442
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     3498, 918010 req, miss ratio 0.8367, byte miss ratio 0.8367
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     6996, 918010 req, miss ratio 0.8316, byte miss ratio 0.8316
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    13993, 918010 req, miss ratio 0.6639, byte miss ratio 0.6639
result/fiu_madmax-110108-112108.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    27986, 918010 req, miss ratio 0.4845, byte miss ratio 0.4845
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size       69, 918010 req, miss ratio 0.8807, byte miss ratio 0.8807
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      349, 918010 req, miss ratio 0.8541, byte miss ratio 0.8541
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      699, 918010 req, miss ratio 0.8511, byte miss ratio 0.8511
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1399, 918010 req, miss ratio 0.8418, byte miss ratio 0.8418
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3498, 918010 req, miss ratio 0.8348, byte miss ratio 0.8348
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6996, 918010 req, miss ratio 0.8271, byte miss ratio 0.8271
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    13993, 918010 req, miss ratio 0.6743, byte miss ratio 0.6743
result/fiu_madmax-110108-112108.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    27986, 918010 req, miss ratio 0.4933, byte miss ratio 0.4933
