result/msr_prn_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.3047, byte miss ratio 0.3047
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8170, byte miss ratio 0.8170
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    10867, 11233411 req, miss ratio 0.7307, byte miss ratio 0.7307
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6739, byte miss ratio 0.6739
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    43471, 11233411 req, miss ratio 0.5799, byte miss ratio 0.5799
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   108678, 11233411 req, miss ratio 0.4743, byte miss ratio 0.4743
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.3873, byte miss ratio 0.3873
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2395, byte miss ratio 0.2395
result/msr_prn_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2091, byte miss ratio 0.2091
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     2173, 11233411 req, miss ratio 0.8545, byte miss ratio 0.8545
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    10867, 11233411 req, miss ratio 0.7754, byte miss ratio 0.7754
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    21735, 11233411 req, miss ratio 0.7145, byte miss ratio 0.7145
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    43471, 11233411 req, miss ratio 0.6241, byte miss ratio 0.6241
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   108678, 11233411 req, miss ratio 0.4815, byte miss ratio 0.4815
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   217357, 11233411 req, miss ratio 0.3700, byte miss ratio 0.3700
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   434715, 11233411 req, miss ratio 0.2396, byte miss ratio 0.2396
result/msr_prn_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2173, 11233411 req, miss ratio 0.8240, byte miss ratio 0.8240
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    10867, 11233411 req, miss ratio 0.7454, byte miss ratio 0.7454
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    21735, 11233411 req, miss ratio 0.7114, byte miss ratio 0.7114
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    43471, 11233411 req, miss ratio 0.6497, byte miss ratio 0.6497
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   108678, 11233411 req, miss ratio 0.5330, byte miss ratio 0.5330
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   217357, 11233411 req, miss ratio 0.4376, byte miss ratio 0.4376
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   434715, 11233411 req, miss ratio 0.2792, byte miss ratio 0.2792
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8204, byte miss ratio 0.8204
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    10867, 11233411 req, miss ratio 0.7345, byte miss ratio 0.7345
