result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6423, byte miss ratio 0.6423
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6435, byte miss ratio 0.6435
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6434, byte miss ratio 0.6434
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4502, byte miss ratio 0.4502
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7656, byte miss ratio 0.7656
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6677, byte miss ratio 0.6677
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6520, byte miss ratio 0.6520
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6456, byte miss ratio 0.6456
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6418, byte miss ratio 0.6418
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6431, byte miss ratio 0.6431
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6432, byte miss ratio 0.6432
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4748, byte miss ratio 0.4748
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size       45, 3274061 req, miss ratio 0.7703, byte miss ratio 0.7703
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      226, 3274061 req, miss ratio 0.6688, byte miss ratio 0.6688
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      453, 3274061 req, miss ratio 0.6599, byte miss ratio 0.6599
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      907, 3274061 req, miss ratio 0.6479, byte miss ratio 0.6479
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     2269, 3274061 req, miss ratio 0.6410, byte miss ratio 0.6410
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    18153, 3274061 req, miss ratio 0.3649, byte miss ratio 0.3649
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size       45, 3274061 req, miss ratio 0.7832, byte miss ratio 0.7832
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      226, 3274061 req, miss ratio 0.6772, byte miss ratio 0.6772
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      453, 3274061 req, miss ratio 0.6564, byte miss ratio 0.6564
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      907, 3274061 req, miss ratio 0.6491, byte miss ratio 0.6491
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2269, 3274061 req, miss ratio 0.6414, byte miss ratio 0.6414
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    18153, 3274061 req, miss ratio 0.4429, byte miss ratio 0.4429
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7646, byte miss ratio 0.7646
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6674, byte miss ratio 0.6674
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6514, byte miss ratio 0.6514
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6461, byte miss ratio 0.6461
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6418, byte miss ratio 0.6418
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6431, byte miss ratio 0.6431
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6432, byte miss ratio 0.6432
result/fiu_webresearch-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4767, byte miss ratio 0.4767
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size       45, 3274061 req, miss ratio 0.7832, byte miss ratio 0.7832
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      226, 3274061 req, miss ratio 0.6772, byte miss ratio 0.6772
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      453, 3274061 req, miss ratio 0.6564, byte miss ratio 0.6564
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      907, 3274061 req, miss ratio 0.6491, byte miss ratio 0.6491
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2269, 3274061 req, miss ratio 0.6414, byte miss ratio 0.6414
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    18153, 3274061 req, miss ratio 0.4429, byte miss ratio 0.4429
