result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      196, 5700499 req, miss ratio 0.8424, byte miss ratio 0.8424
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      984, 5700499 req, miss ratio 0.8172, byte miss ratio 0.8172
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     1968, 5700499 req, miss ratio 0.8105, byte miss ratio 0.8105
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     3936, 5700499 req, miss ratio 0.8003, byte miss ratio 0.8003
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     9840, 5700499 req, miss ratio 0.7411, byte miss ratio 0.7411
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    19681, 5700499 req, miss ratio 0.6450, byte miss ratio 0.6450
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    39362, 5700499 req, miss ratio 0.3202, byte miss ratio 0.3202
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    78724, 5700499 req, miss ratio 0.2010, byte miss ratio 0.2010
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size      196, 5700499 req, miss ratio 0.8423, byte miss ratio 0.8423
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size      984, 5700499 req, miss ratio 0.8172, byte miss ratio 0.8172
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     1968, 5700499 req, miss ratio 0.8107, byte miss ratio 0.8107
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     3936, 5700499 req, miss ratio 0.7995, byte miss ratio 0.7995
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     9840, 5700499 req, miss ratio 0.7413, byte miss ratio 0.7413
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    19681, 5700499 req, miss ratio 0.6384, byte miss ratio 0.6384
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    39362, 5700499 req, miss ratio 0.3166, byte miss ratio 0.3166
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    78724, 5700499 req, miss ratio 0.2198, byte miss ratio 0.2198
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      196, 5700499 req, miss ratio 0.8680, byte miss ratio 0.8680
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      984, 5700499 req, miss ratio 0.8360, byte miss ratio 0.8360
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     1968, 5700499 req, miss ratio 0.8235, byte miss ratio 0.8235
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     3936, 5700499 req, miss ratio 0.8106, byte miss ratio 0.8106
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     9840, 5700499 req, miss ratio 0.7963, byte miss ratio 0.7963
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    19681, 5700499 req, miss ratio 0.7401, byte miss ratio 0.7401
