result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      252, 1530166 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      756, 1530166 req, miss ratio 0.4503, byte miss ratio 0.4503
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2522, 1530166 req, miss ratio 0.4473, byte miss ratio 0.4473
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7566, 1530166 req, miss ratio 0.4461, byte miss ratio 0.4461
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    25221, 1530166 req, miss ratio 0.3860, byte miss ratio 0.3860
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    50442, 1530166 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   100885, 1530166 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns2458.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   201771, 1530166 req, miss ratio 0.1666, byte miss ratio 0.1666
result/tencentBlock.ns2458.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      252, 1530166 req, miss ratio 0.4536, byte miss ratio 0.4536
result/tencentBlock.ns2458.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      756, 1530166 req, miss ratio 0.4494, byte miss ratio 0.4494
result/tencentBlock.ns2458.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2522, 1530166 req, miss ratio 0.4464, byte miss ratio 0.4464
result/tencentBlock.ns2458.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7566, 1530166 req, miss ratio 0.4457, byte miss ratio 0.4457
result/tencentBlock.ns2458.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    25221, 1530166 req, miss ratio 0.3767, byte miss ratio 0.3767
