result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      483, 3952960 req, miss ratio 0.5389, byte miss ratio 0.5389
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1449, 3952960 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4832, 3952960 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    14498, 3952960 req, miss ratio 0.2932, byte miss ratio 0.2932
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    48328, 3952960 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    96656, 3952960 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   193312, 3952960 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tencentBlock.ns2536.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   386624, 3952960 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      483, 3952960 req, miss ratio 0.5349, byte miss ratio 0.5349
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1449, 3952960 req, miss ratio 0.3818, byte miss ratio 0.3818
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4832, 3952960 req, miss ratio 0.3507, byte miss ratio 0.3507
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    14498, 3952960 req, miss ratio 0.2983, byte miss ratio 0.2983
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    48328, 3952960 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    96656, 3952960 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   193312, 3952960 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tencentBlock.ns2536.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   386624, 3952960 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size      483, 3952960 req, miss ratio 0.6215, byte miss ratio 0.6215
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size     1449, 3952960 req, miss ratio 0.5023, byte miss ratio 0.5023
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size     4832, 3952960 req, miss ratio 0.4124, byte miss ratio 0.4124
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size    14498, 3952960 req, miss ratio 0.3335, byte miss ratio 0.3335
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size    48328, 3952960 req, miss ratio 0.2430, byte miss ratio 0.2430
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size    96656, 3952960 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size   193312, 3952960 req, miss ratio 0.1520, byte miss ratio 0.1520
result/tencentBlock.ns2536.oracleGeneral.bin                             FIFO cache size   386624, 3952960 req, miss ratio 0.1331, byte miss ratio 0.1331
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size      483, 3952960 req, miss ratio 0.5490, byte miss ratio 0.5490
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size     1449, 3952960 req, miss ratio 0.4650, byte miss ratio 0.4650
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size     4832, 3952960 req, miss ratio 0.3774, byte miss ratio 0.3774
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size    14498, 3952960 req, miss ratio 0.3114, byte miss ratio 0.3114
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size    48328, 3952960 req, miss ratio 0.2199, byte miss ratio 0.2199
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size    96656, 3952960 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size   193312, 3952960 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tencentBlock.ns2536.oracleGeneral.bin                              LRU cache size   386624, 3952960 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      483, 3952960 req, miss ratio 0.5295, byte miss ratio 0.5295
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1449, 3952960 req, miss ratio 0.3861, byte miss ratio 0.3861
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     4832, 3952960 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    14498, 3952960 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    48328, 3952960 req, miss ratio 0.2153, byte miss ratio 0.2153
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    96656, 3952960 req, miss ratio 0.1494, byte miss ratio 0.1494
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   193312, 3952960 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns2536.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   386624, 3952960 req, miss ratio 0.1224, byte miss ratio 0.1224
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      483, 3952960 req, miss ratio 0.5340, byte miss ratio 0.5340
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1449, 3952960 req, miss ratio 0.3862, byte miss ratio 0.3862
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     4832, 3952960 req, miss ratio 0.3564, byte miss ratio 0.3564
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    14498, 3952960 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    48328, 3952960 req, miss ratio 0.2170, byte miss ratio 0.2170
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    96656, 3952960 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   193312, 3952960 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns2536.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   386624, 3952960 req, miss ratio 0.1224, byte miss ratio 0.1224
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      483, 3952960 req, miss ratio 0.5439, byte miss ratio 0.5439
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1449, 3952960 req, miss ratio 0.3804, byte miss ratio 0.3804
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4832, 3952960 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    14498, 3952960 req, miss ratio 0.3009, byte miss ratio 0.3009
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    48328, 3952960 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns2536.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    96656, 3952960 req, miss ratio 0.1527, byte miss ratio 0.1527
