result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5550, 32443969 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    16651, 32443969 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    55506, 32443969 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   166519, 32443969 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   555064, 32443969 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1110129, 32443969 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  2220258, 32443969 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns3240.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  4440516, 32443969 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5550, 32443969 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    16651, 32443969 req, miss ratio 0.2136, byte miss ratio 0.2136
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    55506, 32443969 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   166519, 32443969 req, miss ratio 0.1911, byte miss ratio 0.1911
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   555064, 32443969 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1110129, 32443969 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  2220258, 32443969 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns3240.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  4440516, 32443969 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size     5550, 32443969 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size    16651, 32443969 req, miss ratio 0.2172, byte miss ratio 0.2172
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size    55506, 32443969 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size   166519, 32443969 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size   555064, 32443969 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size  1110129, 32443969 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size  2220258, 32443969 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns3240.oracleGeneral.bin                             FIFO cache size  4440516, 32443969 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size     5550, 32443969 req, miss ratio 0.2184, byte miss ratio 0.2184
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size    16651, 32443969 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size    55506, 32443969 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size   166519, 32443969 req, miss ratio 0.1935, byte miss ratio 0.1935
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size   555064, 32443969 req, miss ratio 0.1791, byte miss ratio 0.1791
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size  1110129, 32443969 req, miss ratio 0.1740, byte miss ratio 0.1740
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size  2220258, 32443969 req, miss ratio 0.1716, byte miss ratio 0.1716
result/tencentBlock.ns3240.oracleGeneral.bin                              LRU cache size  4440516, 32443969 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns3240.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     5550, 32443969 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns3240.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    16651, 32443969 req, miss ratio 0.2143, byte miss ratio 0.2143
