result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      347, 3667098 req, miss ratio 0.4673, byte miss ratio 0.4673
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1043, 3667098 req, miss ratio 0.3599, byte miss ratio 0.3599
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3478, 3667098 req, miss ratio 0.2845, byte miss ratio 0.2845
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10436, 3667098 req, miss ratio 0.2594, byte miss ratio 0.2594
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    34789, 3667098 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    69579, 3667098 req, miss ratio 0.1695, byte miss ratio 0.1695
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   139158, 3667098 req, miss ratio 0.1106, byte miss ratio 0.1106
result/tencentBlock.ns2495.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   278316, 3667098 req, miss ratio 0.0952, byte miss ratio 0.0952
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      347, 3667098 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1043, 3667098 req, miss ratio 0.3471, byte miss ratio 0.3471
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3478, 3667098 req, miss ratio 0.2834, byte miss ratio 0.2834
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10436, 3667098 req, miss ratio 0.2622, byte miss ratio 0.2622
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    34789, 3667098 req, miss ratio 0.2089, byte miss ratio 0.2089
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    69579, 3667098 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   139158, 3667098 req, miss ratio 0.1101, byte miss ratio 0.1101
result/tencentBlock.ns2495.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   278316, 3667098 req, miss ratio 0.0952, byte miss ratio 0.0952
result/tencentBlock.ns2495.oracleGeneral.bin                             FIFO cache size      347, 3667098 req, miss ratio 0.5682, byte miss ratio 0.5682
result/tencentBlock.ns2495.oracleGeneral.bin                             FIFO cache size     1043, 3667098 req, miss ratio 0.4432, byte miss ratio 0.4432
result/tencentBlock.ns2495.oracleGeneral.bin                             FIFO cache size     3478, 3667098 req, miss ratio 0.3485, byte miss ratio 0.3485
