result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      597, 7915914 req, miss ratio 0.4441, byte miss ratio 0.4441
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1791, 7915914 req, miss ratio 0.3802, byte miss ratio 0.3802
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5970, 7915914 req, miss ratio 0.3175, byte miss ratio 0.3175
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    17912, 7915914 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    59707, 7915914 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   119415, 7915914 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   238831, 7915914 req, miss ratio 0.0855, byte miss ratio 0.0855
result/tencentBlock.ns3254.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   477663, 7915914 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      597, 7915914 req, miss ratio 0.4408, byte miss ratio 0.4408
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1791, 7915914 req, miss ratio 0.3762, byte miss ratio 0.3762
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5970, 7915914 req, miss ratio 0.3137, byte miss ratio 0.3137
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    17912, 7915914 req, miss ratio 0.2549, byte miss ratio 0.2549
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    59707, 7915914 req, miss ratio 0.1664, byte miss ratio 0.1664
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   119415, 7915914 req, miss ratio 0.1220, byte miss ratio 0.1220
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   238831, 7915914 req, miss ratio 0.0855, byte miss ratio 0.0855
result/tencentBlock.ns3254.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   477663, 7915914 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size      597, 7915914 req, miss ratio 0.5054, byte miss ratio 0.5054
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size     1791, 7915914 req, miss ratio 0.4244, byte miss ratio 0.4244
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size     5970, 7915914 req, miss ratio 0.3631, byte miss ratio 0.3631
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size    17912, 7915914 req, miss ratio 0.3115, byte miss ratio 0.3115
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size    59707, 7915914 req, miss ratio 0.2194, byte miss ratio 0.2194
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size   119415, 7915914 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size   238831, 7915914 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns3254.oracleGeneral.bin                             FIFO cache size   477663, 7915914 req, miss ratio 0.0840, byte miss ratio 0.0840
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size      597, 7915914 req, miss ratio 0.4689, byte miss ratio 0.4689
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size     1791, 7915914 req, miss ratio 0.3979, byte miss ratio 0.3979
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size     5970, 7915914 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size    17912, 7915914 req, miss ratio 0.2971, byte miss ratio 0.2971
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size    59707, 7915914 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size   119415, 7915914 req, miss ratio 0.1361, byte miss ratio 0.1361
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size   238831, 7915914 req, miss ratio 0.0915, byte miss ratio 0.0915
result/tencentBlock.ns3254.oracleGeneral.bin                              LRU cache size   477663, 7915914 req, miss ratio 0.0764, byte miss ratio 0.0764
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      597, 7915914 req, miss ratio 0.4400, byte miss ratio 0.4400
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1791, 7915914 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     5970, 7915914 req, miss ratio 0.3185, byte miss ratio 0.3185
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    17912, 7915914 req, miss ratio 0.2594, byte miss ratio 0.2594
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    59707, 7915914 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   119415, 7915914 req, miss ratio 0.1261, byte miss ratio 0.1261
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   238831, 7915914 req, miss ratio 0.0846, byte miss ratio 0.0846
result/tencentBlock.ns3254.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   477663, 7915914 req, miss ratio 0.0762, byte miss ratio 0.0762
result/tencentBlock.ns3254.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      597, 7915914 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns3254.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1791, 7915914 req, miss ratio 0.3775, byte miss ratio 0.3775
