result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     8380, 4155308 req, miss ratio 0.3247, byte miss ratio 0.3247
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    27936, 4155308 req, miss ratio 0.2906, byte miss ratio 0.2906
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    55872, 4155308 req, miss ratio 0.2331, byte miss ratio 0.2331
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   111745, 4155308 req, miss ratio 0.1248, byte miss ratio 0.1248
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   223490, 4155308 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      279, 4155308 req, miss ratio 0.4122, byte miss ratio 0.4122
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      838, 4155308 req, miss ratio 0.3543, byte miss ratio 0.3543
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2793, 4155308 req, miss ratio 0.3378, byte miss ratio 0.3378
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     8380, 4155308 req, miss ratio 0.3255, byte miss ratio 0.3255
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    27936, 4155308 req, miss ratio 0.2763, byte miss ratio 0.2763
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    55872, 4155308 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   111745, 4155308 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns4586.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   223490, 4155308 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      279, 4155308 req, miss ratio 0.4057, byte miss ratio 0.4057
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      838, 4155308 req, miss ratio 0.3500, byte miss ratio 0.3500
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2793, 4155308 req, miss ratio 0.3359, byte miss ratio 0.3359
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     8380, 4155308 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    27936, 4155308 req, miss ratio 0.2906, byte miss ratio 0.2906
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    55872, 4155308 req, miss ratio 0.2333, byte miss ratio 0.2333
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   111745, 4155308 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns4586.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   223490, 4155308 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      279, 4155308 req, miss ratio 0.6284, byte miss ratio 0.6284
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      838, 4155308 req, miss ratio 0.5074, byte miss ratio 0.5074
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2793, 4155308 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8380, 4155308 req, miss ratio 0.3971, byte miss ratio 0.3971
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    27936, 4155308 req, miss ratio 0.3345, byte miss ratio 0.3345
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    55872, 4155308 req, miss ratio 0.2743, byte miss ratio 0.2743
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   111745, 4155308 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   223490, 4155308 req, miss ratio 0.0723, byte miss ratio 0.0723
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      279, 4155308 req, miss ratio 0.4073, byte miss ratio 0.4073
