result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       55, 1761430 req, miss ratio 0.3951, byte miss ratio 0.3951
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      167, 1761430 req, miss ratio 0.2681, byte miss ratio 0.2681
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      559, 1761430 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1678, 1761430 req, miss ratio 0.1330, byte miss ratio 0.1330
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5593, 1761430 req, miss ratio 0.1182, byte miss ratio 0.1182
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    11187, 1761430 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    22375, 1761430 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns4546.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    44751, 1761430 req, miss ratio 0.0322, byte miss ratio 0.0322
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       55, 1761430 req, miss ratio 0.3953, byte miss ratio 0.3953
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      167, 1761430 req, miss ratio 0.2624, byte miss ratio 0.2624
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      559, 1761430 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1678, 1761430 req, miss ratio 0.1330, byte miss ratio 0.1330
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5593, 1761430 req, miss ratio 0.1175, byte miss ratio 0.1175
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    11187, 1761430 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    22375, 1761430 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns4546.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    44751, 1761430 req, miss ratio 0.0322, byte miss ratio 0.0322
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size       55, 1761430 req, miss ratio 0.5051, byte miss ratio 0.5051
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size      167, 1761430 req, miss ratio 0.3930, byte miss ratio 0.3930
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size      559, 1761430 req, miss ratio 0.1851, byte miss ratio 0.1851
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size     1678, 1761430 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size     5593, 1761430 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns4546.oracleGeneral.bin                             FIFO cache size    11187, 1761430 req, miss ratio 0.1287, byte miss ratio 0.1287
