result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    21503, 30340926 req, miss ratio 0.5038, byte miss ratio 0.5038
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    64509, 30340926 req, miss ratio 0.3828, byte miss ratio 0.3828
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   215033, 30340926 req, miss ratio 0.2331, byte miss ratio 0.2331
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   430066, 30340926 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   860132, 30340926 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1720265, 30340926 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2150, 30340926 req, miss ratio 0.6411, byte miss ratio 0.6411
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     6450, 30340926 req, miss ratio 0.5752, byte miss ratio 0.5752
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    21503, 30340926 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    64509, 30340926 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   215033, 30340926 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   430066, 30340926 req, miss ratio 0.1543, byte miss ratio 0.1543
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   860132, 30340926 req, miss ratio 0.1017, byte miss ratio 0.1017
result/tencentBlock.ns2362.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1720265, 30340926 req, miss ratio 0.0733, byte miss ratio 0.0733
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2150, 30340926 req, miss ratio 0.6450, byte miss ratio 0.6450
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     6450, 30340926 req, miss ratio 0.5855, byte miss ratio 0.5855
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    21503, 30340926 req, miss ratio 0.5037, byte miss ratio 0.5037
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    64509, 30340926 req, miss ratio 0.3825, byte miss ratio 0.3825
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   215033, 30340926 req, miss ratio 0.2341, byte miss ratio 0.2341
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   430066, 30340926 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   860132, 30340926 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns2362.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1720265, 30340926 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2150, 30340926 req, miss ratio 0.7408, byte miss ratio 0.7408
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6450, 30340926 req, miss ratio 0.6769, byte miss ratio 0.6769
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    21503, 30340926 req, miss ratio 0.5881, byte miss ratio 0.5881
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    64509, 30340926 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   215033, 30340926 req, miss ratio 0.2995, byte miss ratio 0.2995
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   430066, 30340926 req, miss ratio 0.1964, byte miss ratio 0.1964
