result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      936, 5684316 req, miss ratio 0.7767, byte miss ratio 0.7767
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2810, 5684316 req, miss ratio 0.7546, byte miss ratio 0.7546
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     9367, 5684316 req, miss ratio 0.6750, byte miss ratio 0.6750
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    28102, 5684316 req, miss ratio 0.5318, byte miss ratio 0.5318
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    93674, 5684316 req, miss ratio 0.2697, byte miss ratio 0.2697
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   187349, 5684316 req, miss ratio 0.2323, byte miss ratio 0.2323
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   374698, 5684316 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns2390.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   749397, 5684316 req, miss ratio 0.1697, byte miss ratio 0.1697
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      936, 5684316 req, miss ratio 0.7745, byte miss ratio 0.7745
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2810, 5684316 req, miss ratio 0.7557, byte miss ratio 0.7557
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9367, 5684316 req, miss ratio 0.6693, byte miss ratio 0.6693
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    28102, 5684316 req, miss ratio 0.5269, byte miss ratio 0.5269
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    93674, 5684316 req, miss ratio 0.2711, byte miss ratio 0.2711
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   187349, 5684316 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   374698, 5684316 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns2390.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   749397, 5684316 req, miss ratio 0.1697, byte miss ratio 0.1697
