result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       73, 2071033 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      221, 2071033 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      738, 2071033 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2216, 2071033 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7387, 2071033 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    14775, 2071033 req, miss ratio 0.0998, byte miss ratio 0.0998
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    29550, 2071033 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns4713.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    59101, 2071033 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       73, 2071033 req, miss ratio 0.2959, byte miss ratio 0.2959
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      221, 2071033 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      738, 2071033 req, miss ratio 0.2001, byte miss ratio 0.2001
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2216, 2071033 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7387, 2071033 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    14775, 2071033 req, miss ratio 0.1021, byte miss ratio 0.1021
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    29550, 2071033 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns4713.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    59101, 2071033 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size       73, 2071033 req, miss ratio 0.3955, byte miss ratio 0.3955
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size      221, 2071033 req, miss ratio 0.2914, byte miss ratio 0.2914
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size      738, 2071033 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size     2216, 2071033 req, miss ratio 0.2036, byte miss ratio 0.2036
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size     7387, 2071033 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size    14775, 2071033 req, miss ratio 0.1203, byte miss ratio 0.1203
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size    29550, 2071033 req, miss ratio 0.0655, byte miss ratio 0.0655
result/tencentBlock.ns4713.oracleGeneral.bin                             FIFO cache size    59101, 2071033 req, miss ratio 0.0469, byte miss ratio 0.0469
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size       73, 2071033 req, miss ratio 0.3374, byte miss ratio 0.3374
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size      221, 2071033 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size      738, 2071033 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size     2216, 2071033 req, miss ratio 0.1922, byte miss ratio 0.1922
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size     7387, 2071033 req, miss ratio 0.1467, byte miss ratio 0.1467
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size    14775, 2071033 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size    29550, 2071033 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns4713.oracleGeneral.bin                              LRU cache size    59101, 2071033 req, miss ratio 0.0368, byte miss ratio 0.0368
result/tencentBlock.ns4713.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size       73, 2071033 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns4713.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      221, 2071033 req, miss ratio 0.2242, byte miss ratio 0.2242
