result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      180, 3385475 req, miss ratio 0.4469, byte miss ratio 0.4469
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      542, 3385475 req, miss ratio 0.3891, byte miss ratio 0.3891
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1809, 3385475 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5427, 3385475 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    18091, 3385475 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36182, 3385475 req, miss ratio 0.1499, byte miss ratio 0.1499
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72365, 3385475 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns4344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   144731, 3385475 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      180, 3385475 req, miss ratio 0.4401, byte miss ratio 0.4401
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      542, 3385475 req, miss ratio 0.3872, byte miss ratio 0.3872
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1809, 3385475 req, miss ratio 0.2954, byte miss ratio 0.2954
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5427, 3385475 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    18091, 3385475 req, miss ratio 0.1714, byte miss ratio 0.1714
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36182, 3385475 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    72365, 3385475 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns4344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   144731, 3385475 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size      180, 3385475 req, miss ratio 0.5431, byte miss ratio 0.5431
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size      542, 3385475 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size     1809, 3385475 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size     5427, 3385475 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size    18091, 3385475 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size    36182, 3385475 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size    72365, 3385475 req, miss ratio 0.1178, byte miss ratio 0.1178
result/tencentBlock.ns4344.oracleGeneral.bin                             FIFO cache size   144731, 3385475 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size      180, 3385475 req, miss ratio 0.5068, byte miss ratio 0.5068
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size      542, 3385475 req, miss ratio 0.4248, byte miss ratio 0.4248
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size     1809, 3385475 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size     5427, 3385475 req, miss ratio 0.2250, byte miss ratio 0.2250
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size    18091, 3385475 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size    36182, 3385475 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size    72365, 3385475 req, miss ratio 0.1050, byte miss ratio 0.1050
result/tencentBlock.ns4344.oracleGeneral.bin                              LRU cache size   144731, 3385475 req, miss ratio 0.0559, byte miss ratio 0.0559
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      180, 3385475 req, miss ratio 0.4506, byte miss ratio 0.4506
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      542, 3385475 req, miss ratio 0.3867, byte miss ratio 0.3867
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1809, 3385475 req, miss ratio 0.2908, byte miss ratio 0.2908
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     5427, 3385475 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    18091, 3385475 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    36182, 3385475 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    72365, 3385475 req, miss ratio 0.0869, byte miss ratio 0.0869
result/tencentBlock.ns4344.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   144731, 3385475 req, miss ratio 0.0562, byte miss ratio 0.0562
result/tencentBlock.ns4344.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      180, 3385475 req, miss ratio 0.4475, byte miss ratio 0.4475
result/tencentBlock.ns4344.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      542, 3385475 req, miss ratio 0.3871, byte miss ratio 0.3871
