result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      176, 2235927 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      529, 2235927 req, miss ratio 0.3967, byte miss ratio 0.3967
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1765, 2235927 req, miss ratio 0.3754, byte miss ratio 0.3754
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5297, 2235927 req, miss ratio 0.3263, byte miss ratio 0.3263
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    17658, 2235927 req, miss ratio 0.2942, byte miss ratio 0.2942
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    35317, 2235927 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    70634, 2235927 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns3294.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   141268, 2235927 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      176, 2235927 req, miss ratio 0.4611, byte miss ratio 0.4611
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      529, 2235927 req, miss ratio 0.3974, byte miss ratio 0.3974
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1765, 2235927 req, miss ratio 0.3736, byte miss ratio 0.3736
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5297, 2235927 req, miss ratio 0.3251, byte miss ratio 0.3251
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    17658, 2235927 req, miss ratio 0.2946, byte miss ratio 0.2946
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    35317, 2235927 req, miss ratio 0.2650, byte miss ratio 0.2650
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    70634, 2235927 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns3294.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   141268, 2235927 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size      176, 2235927 req, miss ratio 0.5564, byte miss ratio 0.5564
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size      529, 2235927 req, miss ratio 0.4521, byte miss ratio 0.4521
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size     1765, 2235927 req, miss ratio 0.4074, byte miss ratio 0.4074
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size     5297, 2235927 req, miss ratio 0.3849, byte miss ratio 0.3849
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size    17658, 2235927 req, miss ratio 0.3353, byte miss ratio 0.3353
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size    35317, 2235927 req, miss ratio 0.3106, byte miss ratio 0.3106
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size    70634, 2235927 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns3294.oracleGeneral.bin                             FIFO cache size   141268, 2235927 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns3294.oracleGeneral.bin                              LRU cache size      176, 2235927 req, miss ratio 0.4987, byte miss ratio 0.4987
result/tencentBlock.ns3294.oracleGeneral.bin                              LRU cache size      529, 2235927 req, miss ratio 0.4100, byte miss ratio 0.4100
result/tencentBlock.ns3294.oracleGeneral.bin                              LRU cache size     1765, 2235927 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns3294.oracleGeneral.bin                              LRU cache size     5297, 2235927 req, miss ratio 0.3743, byte miss ratio 0.3743
