result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      144, 2284029 req, miss ratio 0.5809, byte miss ratio 0.5809
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      433, 2284029 req, miss ratio 0.4673, byte miss ratio 0.4673
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1446, 2284029 req, miss ratio 0.2896, byte miss ratio 0.2896
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4339, 2284029 req, miss ratio 0.2820, byte miss ratio 0.2820
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    14466, 2284029 req, miss ratio 0.2562, byte miss ratio 0.2562
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    28932, 2284029 req, miss ratio 0.2224, byte miss ratio 0.2224
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    57865, 2284029 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns3196.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   115730, 2284029 req, miss ratio 0.0790, byte miss ratio 0.0790
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      144, 2284029 req, miss ratio 0.5631, byte miss ratio 0.5631
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      433, 2284029 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1446, 2284029 req, miss ratio 0.2876, byte miss ratio 0.2876
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4339, 2284029 req, miss ratio 0.2814, byte miss ratio 0.2814
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    14466, 2284029 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    28932, 2284029 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    57865, 2284029 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns3196.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   115730, 2284029 req, miss ratio 0.0790, byte miss ratio 0.0790
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size      144, 2284029 req, miss ratio 0.6930, byte miss ratio 0.6930
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size      433, 2284029 req, miss ratio 0.6057, byte miss ratio 0.6057
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size     1446, 2284029 req, miss ratio 0.4745, byte miss ratio 0.4745
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size     4339, 2284029 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size    14466, 2284029 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size    28932, 2284029 req, miss ratio 0.2493, byte miss ratio 0.2493
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size    57865, 2284029 req, miss ratio 0.1857, byte miss ratio 0.1857
result/tencentBlock.ns3196.oracleGeneral.bin                             FIFO cache size   115730, 2284029 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns3196.oracleGeneral.bin                              LRU cache size      144, 2284029 req, miss ratio 0.6448, byte miss ratio 0.6448
result/tencentBlock.ns3196.oracleGeneral.bin                              LRU cache size      433, 2284029 req, miss ratio 0.5599, byte miss ratio 0.5599
