result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1754, 3587707 req, miss ratio 0.7842, byte miss ratio 0.7842
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     5263, 3587707 req, miss ratio 0.7289, byte miss ratio 0.7289
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    17545, 3587707 req, miss ratio 0.7072, byte miss ratio 0.7072
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    52637, 3587707 req, miss ratio 0.6844, byte miss ratio 0.6844
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   175457, 3587707 req, miss ratio 0.6546, byte miss ratio 0.6546
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   350914, 3587707 req, miss ratio 0.6201, byte miss ratio 0.6201
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   701829, 3587707 req, miss ratio 0.5400, byte miss ratio 0.5400
result/w101.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1403658, 3587707 req, miss ratio 0.4983, byte miss ratio 0.4983
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1754, 3587707 req, miss ratio 0.7910, byte miss ratio 0.7910
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     5263, 3587707 req, miss ratio 0.7341, byte miss ratio 0.7341
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    17545, 3587707 req, miss ratio 0.7101, byte miss ratio 0.7101
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    52637, 3587707 req, miss ratio 0.6843, byte miss ratio 0.6843
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   175457, 3587707 req, miss ratio 0.6403, byte miss ratio 0.6403
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   350914, 3587707 req, miss ratio 0.6073, byte miss ratio 0.6073
result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   701829, 3587707 req, miss ratio 0.5530, byte miss ratio 0.5530
