result/w45.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      326, 15064629 req, miss ratio 0.1794, byte miss ratio 0.1794
result/w45.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9804, 15064629 req, miss ratio 0.1590, byte miss ratio 0.1590
result/w45.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    32682, 15064629 req, miss ratio 0.0857, byte miss ratio 0.0857
result/w45.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    65365, 15064629 req, miss ratio 0.0521, byte miss ratio 0.0521
result/w45.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   130731, 15064629 req, miss ratio 0.0388, byte miss ratio 0.0388
result/w45.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   261462, 15064629 req, miss ratio 0.0239, byte miss ratio 0.0239
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      326, 15064629 req, miss ratio 0.1760, byte miss ratio 0.1760
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      980, 15064629 req, miss ratio 0.1651, byte miss ratio 0.1651
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3268, 15064629 req, miss ratio 0.1605, byte miss ratio 0.1605
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9804, 15064629 req, miss ratio 0.1584, byte miss ratio 0.1584
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    32682, 15064629 req, miss ratio 0.0916, byte miss ratio 0.0916
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    65365, 15064629 req, miss ratio 0.0540, byte miss ratio 0.0540
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   130731, 15064629 req, miss ratio 0.0391, byte miss ratio 0.0391
result/w45.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   261462, 15064629 req, miss ratio 0.0241, byte miss ratio 0.0241
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      326, 15064629 req, miss ratio 0.2667, byte miss ratio 0.2667
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      980, 15064629 req, miss ratio 0.2349, byte miss ratio 0.2349
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3268, 15064629 req, miss ratio 0.2177, byte miss ratio 0.2177
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9804, 15064629 req, miss ratio 0.2042, byte miss ratio 0.2042
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    32682, 15064629 req, miss ratio 0.1498, byte miss ratio 0.1498
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    65365, 15064629 req, miss ratio 0.0857, byte miss ratio 0.0857
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   130731, 15064629 req, miss ratio 0.0556, byte miss ratio 0.0556
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   261462, 15064629 req, miss ratio 0.0252, byte miss ratio 0.0252
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      326, 15064629 req, miss ratio 0.1794, byte miss ratio 0.1794
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      980, 15064629 req, miss ratio 0.1664, byte miss ratio 0.1664
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3268, 15064629 req, miss ratio 0.1610, byte miss ratio 0.1610
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9804, 15064629 req, miss ratio 0.1587, byte miss ratio 0.1587
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    32682, 15064629 req, miss ratio 0.0889, byte miss ratio 0.0889
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    65365, 15064629 req, miss ratio 0.0593, byte miss ratio 0.0593
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   130731, 15064629 req, miss ratio 0.0545, byte miss ratio 0.0545
result/w45.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   261462, 15064629 req, miss ratio 0.0506, byte miss ratio 0.0506
result/w45.oracleGeneral.bin                              LFU cache size      326, 15064629 req, miss ratio 0.3224, byte miss ratio 0.3224
result/w45.oracleGeneral.bin                              LFU cache size     1634, 15064629 req, miss ratio 0.2969, byte miss ratio 0.2969
result/w45.oracleGeneral.bin                              LFU cache size     3268, 15064629 req, miss ratio 0.2913, byte miss ratio 0.2913
result/w45.oracleGeneral.bin                              LFU cache size     6536, 15064629 req, miss ratio 0.2797, byte miss ratio 0.2797
result/w45.oracleGeneral.bin                              LFU cache size    16341, 15064629 req, miss ratio 0.2658, byte miss ratio 0.2658
result/w45.oracleGeneral.bin                              LFU cache size    32682, 15064629 req, miss ratio 0.2196, byte miss ratio 0.2196
result/w45.oracleGeneral.bin                              LFU cache size    65365, 15064629 req, miss ratio 0.1371, byte miss ratio 0.1371
result/w45.oracleGeneral.bin                              LFU cache size   130731, 15064629 req, miss ratio 0.0845, byte miss ratio 0.0845
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      326, 15064629 req, miss ratio 0.2667, byte miss ratio 0.2667
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1634, 15064629 req, miss ratio 0.2255, byte miss ratio 0.2255
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3268, 15064629 req, miss ratio 0.2177, byte miss ratio 0.2177
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6536, 15064629 req, miss ratio 0.2079, byte miss ratio 0.2079
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    16341, 15064629 req, miss ratio 0.1872, byte miss ratio 0.1872
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    32682, 15064629 req, miss ratio 0.1498, byte miss ratio 0.1498
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    65365, 15064629 req, miss ratio 0.0857, byte miss ratio 0.0857
result/w45.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   130731, 15064629 req, miss ratio 0.0556, byte miss ratio 0.0556
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      326, 15064629 req, miss ratio 0.1925, byte miss ratio 0.1925
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1634, 15064629 req, miss ratio 0.1681, byte miss ratio 0.1681
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     3268, 15064629 req, miss ratio 0.1638, byte miss ratio 0.1638
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6536, 15064629 req, miss ratio 0.1617, byte miss ratio 0.1617
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16341, 15064629 req, miss ratio 0.1404, byte miss ratio 0.1404
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    32682, 15064629 req, miss ratio 0.1126, byte miss ratio 0.1126
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    65365, 15064629 req, miss ratio 0.0824, byte miss ratio 0.0824
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   130731, 15064629 req, miss ratio 0.0479, byte miss ratio 0.0479
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      326, 15064629 req, miss ratio 0.1787, byte miss ratio 0.1787
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1634, 15064629 req, miss ratio 0.1631, byte miss ratio 0.1631
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     3268, 15064629 req, miss ratio 0.1607, byte miss ratio 0.1607
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     6536, 15064629 req, miss ratio 0.1596, byte miss ratio 0.1596
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    16341, 15064629 req, miss ratio 0.1268, byte miss ratio 0.1268
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    32682, 15064629 req, miss ratio 0.0927, byte miss ratio 0.0927
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    65365, 15064629 req, miss ratio 0.0577, byte miss ratio 0.0577
result/w45.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   130731, 15064629 req, miss ratio 0.0392, byte miss ratio 0.0392
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      326, 15064629 req, miss ratio 0.1925, byte miss ratio 0.1925
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1634, 15064629 req, miss ratio 0.1681, byte miss ratio 0.1681
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     3268, 15064629 req, miss ratio 0.1638, byte miss ratio 0.1638
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6536, 15064629 req, miss ratio 0.1617, byte miss ratio 0.1617
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16341, 15064629 req, miss ratio 0.1404, byte miss ratio 0.1404
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    32682, 15064629 req, miss ratio 0.1126, byte miss ratio 0.1126
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    65365, 15064629 req, miss ratio 0.0824, byte miss ratio 0.0824
result/w45.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   130731, 15064629 req, miss ratio 0.0479, byte miss ratio 0.0479
result/w45.oracleGeneral.bin                              LFU cache size      326, 15064629 req, miss ratio 0.3224, byte miss ratio 0.3224
result/w45.oracleGeneral.bin                              LFU cache size     1634, 15064629 req, miss ratio 0.2969, byte miss ratio 0.2969
result/w45.oracleGeneral.bin                              LFU cache size     3268, 15064629 req, miss ratio 0.2913, byte miss ratio 0.2913
result/w45.oracleGeneral.bin                              LFU cache size     6536, 15064629 req, miss ratio 0.2797, byte miss ratio 0.2797
result/w45.oracleGeneral.bin                              LFU cache size    16341, 15064629 req, miss ratio 0.2658, byte miss ratio 0.2658
result/w45.oracleGeneral.bin                              LFU cache size    32682, 15064629 req, miss ratio 0.2196, byte miss ratio 0.2196
result/w45.oracleGeneral.bin                              LFU cache size    65365, 15064629 req, miss ratio 0.1371, byte miss ratio 0.1371
result/w45.oracleGeneral.bin                              LFU cache size   130731, 15064629 req, miss ratio 0.0845, byte miss ratio 0.0845
