result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1825, 12116074 req, miss ratio 0.9400, byte miss ratio 0.9400
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5476, 12116074 req, miss ratio 0.9213, byte miss ratio 0.9213
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    18254, 12116074 req, miss ratio 0.8995, byte miss ratio 0.8995
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    54764, 12116074 req, miss ratio 0.8836, byte miss ratio 0.8836
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   182548, 12116074 req, miss ratio 0.8554, byte miss ratio 0.8554
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   365097, 12116074 req, miss ratio 0.8491, byte miss ratio 0.8491
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   730194, 12116074 req, miss ratio 0.6087, byte miss ratio 0.6087
result/w44.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1460388, 12116074 req, miss ratio 0.3531, byte miss ratio 0.3531
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1825, 12116074 req, miss ratio 0.9400, byte miss ratio 0.9400
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5476, 12116074 req, miss ratio 0.9210, byte miss ratio 0.9210
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    18254, 12116074 req, miss ratio 0.8998, byte miss ratio 0.8998
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    54764, 12116074 req, miss ratio 0.8836, byte miss ratio 0.8836
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   182548, 12116074 req, miss ratio 0.8554, byte miss ratio 0.8554
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   365097, 12116074 req, miss ratio 0.8491, byte miss ratio 0.8491
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   730194, 12116074 req, miss ratio 0.6110, byte miss ratio 0.6110
result/w44.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1460388, 12116074 req, miss ratio 0.3686, byte miss ratio 0.3686
result/w44.oracleGeneral.bin                              LRU cache size     1825, 12116074 req, miss ratio 0.9507, byte miss ratio 0.9507
result/w44.oracleGeneral.bin                              LRU cache size     5476, 12116074 req, miss ratio 0.9350, byte miss ratio 0.9350
result/w44.oracleGeneral.bin                              LRU cache size    18254, 12116074 req, miss ratio 0.9186, byte miss ratio 0.9186
result/w44.oracleGeneral.bin                              LRU cache size    54764, 12116074 req, miss ratio 0.9039, byte miss ratio 0.9039
result/w44.oracleGeneral.bin                              LRU cache size   182548, 12116074 req, miss ratio 0.8818, byte miss ratio 0.8818
result/w44.oracleGeneral.bin                              LRU cache size   365097, 12116074 req, miss ratio 0.8689, byte miss ratio 0.8689
result/w44.oracleGeneral.bin                              LRU cache size   730194, 12116074 req, miss ratio 0.8627, byte miss ratio 0.8627
result/w44.oracleGeneral.bin                              LRU cache size  1460388, 12116074 req, miss ratio 0.5363, byte miss ratio 0.5363
result/w44.oracleGeneral.bin                             FIFO cache size     1825, 12116074 req, miss ratio 0.9534, byte miss ratio 0.9534
result/w44.oracleGeneral.bin                             FIFO cache size     5476, 12116074 req, miss ratio 0.9388, byte miss ratio 0.9388
result/w44.oracleGeneral.bin                             FIFO cache size    18254, 12116074 req, miss ratio 0.9231, byte miss ratio 0.9231
result/w44.oracleGeneral.bin                             FIFO cache size    54764, 12116074 req, miss ratio 0.9094, byte miss ratio 0.9094
result/w44.oracleGeneral.bin                             FIFO cache size   182548, 12116074 req, miss ratio 0.8855, byte miss ratio 0.8855
result/w44.oracleGeneral.bin                             FIFO cache size   365097, 12116074 req, miss ratio 0.8744, byte miss ratio 0.8744
result/w44.oracleGeneral.bin                             FIFO cache size   730194, 12116074 req, miss ratio 0.8655, byte miss ratio 0.8655
result/w44.oracleGeneral.bin                             FIFO cache size  1460388, 12116074 req, miss ratio 0.4107, byte miss ratio 0.4107
result/w44.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1825, 12116074 req, miss ratio 0.9386, byte miss ratio 0.9386
result/w44.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     5476, 12116074 req, miss ratio 0.9196, byte miss ratio 0.9196
result/w44.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    18254, 12116074 req, miss ratio 0.9010, byte miss ratio 0.9010
