result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      285, 2835993 req, miss ratio 0.4632, byte miss ratio 0.4632
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      855, 2835993 req, miss ratio 0.4317, byte miss ratio 0.4317
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2850, 2835993 req, miss ratio 0.3814, byte miss ratio 0.3814
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8552, 2835993 req, miss ratio 0.3737, byte miss ratio 0.3737
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    28508, 2835993 req, miss ratio 0.3335, byte miss ratio 0.3335
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    57017, 2835993 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   114034, 2835993 req, miss ratio 0.1549, byte miss ratio 0.1549
result/tencentBlock.ns2454.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   228068, 2835993 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      285, 2835993 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      855, 2835993 req, miss ratio 0.4237, byte miss ratio 0.4237
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2850, 2835993 req, miss ratio 0.3813, byte miss ratio 0.3813
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8552, 2835993 req, miss ratio 0.3735, byte miss ratio 0.3735
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    28508, 2835993 req, miss ratio 0.3260, byte miss ratio 0.3260
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    57017, 2835993 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   114034, 2835993 req, miss ratio 0.1538, byte miss ratio 0.1538
result/tencentBlock.ns2454.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   228068, 2835993 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns2454.oracleGeneral.bin                             FIFO cache size      285, 2835993 req, miss ratio 0.6108, byte miss ratio 0.6108
result/tencentBlock.ns2454.oracleGeneral.bin                             FIFO cache size      855, 2835993 req, miss ratio 0.4932, byte miss ratio 0.4932
result/tencentBlock.ns2454.oracleGeneral.bin                             FIFO cache size     2850, 2835993 req, miss ratio 0.4374, byte miss ratio 0.4374
result/tencentBlock.ns2454.oracleGeneral.bin                             FIFO cache size     8552, 2835993 req, miss ratio 0.4043, byte miss ratio 0.4043
