result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      461, 9760086 req, miss ratio 0.5482, byte miss ratio 0.5482
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1384, 9760086 req, miss ratio 0.5188, byte miss ratio 0.5188
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4616, 9760086 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    13848, 9760086 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    46162, 9760086 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    92324, 9760086 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   184648, 9760086 req, miss ratio 0.0781, byte miss ratio 0.0781
result/tencentBlock.ns3145.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   369297, 9760086 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      461, 9760086 req, miss ratio 0.5465, byte miss ratio 0.5465
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1384, 9760086 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4616, 9760086 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    13848, 9760086 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    46162, 9760086 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    92324, 9760086 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   184648, 9760086 req, miss ratio 0.0779, byte miss ratio 0.0779
result/tencentBlock.ns3145.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   369297, 9760086 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size      461, 9760086 req, miss ratio 0.6095, byte miss ratio 0.6095
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size     1384, 9760086 req, miss ratio 0.5582, byte miss ratio 0.5582
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size     4616, 9760086 req, miss ratio 0.5266, byte miss ratio 0.5266
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size    13848, 9760086 req, miss ratio 0.4292, byte miss ratio 0.4292
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size    46162, 9760086 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size    92324, 9760086 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns3145.oracleGeneral.bin                             FIFO cache size   184648, 9760086 req, miss ratio 0.1033, byte miss ratio 0.1033
