result/w48.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3600, 14097008 req, miss ratio 0.9790, byte miss ratio 0.9790
result/w48.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   360062, 14097008 req, miss ratio 0.8498, byte miss ratio 0.8498
result/w48.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   720124, 14097008 req, miss ratio 0.7705, byte miss ratio 0.7705
result/w48.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1440248, 14097008 req, miss ratio 0.5780, byte miss ratio 0.5780
result/w48.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  2880496, 14097008 req, miss ratio 0.2771, byte miss ratio 0.2771
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3600, 14097008 req, miss ratio 0.9810, byte miss ratio 0.9810
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    10801, 14097008 req, miss ratio 0.9335, byte miss ratio 0.9335
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    36006, 14097008 req, miss ratio 0.8995, byte miss ratio 0.8995
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   108018, 14097008 req, miss ratio 0.8848, byte miss ratio 0.8848
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   360062, 14097008 req, miss ratio 0.8688, byte miss ratio 0.8688
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   720124, 14097008 req, miss ratio 0.8049, byte miss ratio 0.8049
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1440248, 14097008 req, miss ratio 0.6025, byte miss ratio 0.6025
result/w48.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  2880496, 14097008 req, miss ratio 0.5217, byte miss ratio 0.5217
