result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      254, 1450604 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      764, 1450604 req, miss ratio 0.5122, byte miss ratio 0.5122
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2546, 1450604 req, miss ratio 0.5090, byte miss ratio 0.5090
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7640, 1450604 req, miss ratio 0.5077, byte miss ratio 0.5077
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    25466, 1450604 req, miss ratio 0.4475, byte miss ratio 0.4475
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    50933, 1450604 req, miss ratio 0.3435, byte miss ratio 0.3435
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   101866, 1450604 req, miss ratio 0.2204, byte miss ratio 0.2204
result/tencentBlock.ns4769.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   203733, 1450604 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      254, 1450604 req, miss ratio 0.5156, byte miss ratio 0.5156
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      764, 1450604 req, miss ratio 0.5112, byte miss ratio 0.5112
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2546, 1450604 req, miss ratio 0.5081, byte miss ratio 0.5081
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7640, 1450604 req, miss ratio 0.5074, byte miss ratio 0.5074
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    25466, 1450604 req, miss ratio 0.4377, byte miss ratio 0.4377
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    50933, 1450604 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   101866, 1450604 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns4769.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   203733, 1450604 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size      254, 1450604 req, miss ratio 0.5672, byte miss ratio 0.5672
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size      764, 1450604 req, miss ratio 0.5314, byte miss ratio 0.5314
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size     2546, 1450604 req, miss ratio 0.5163, byte miss ratio 0.5163
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size     7640, 1450604 req, miss ratio 0.5112, byte miss ratio 0.5112
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size    25466, 1450604 req, miss ratio 0.4769, byte miss ratio 0.4769
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size    50933, 1450604 req, miss ratio 0.3722, byte miss ratio 0.3722
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size   101866, 1450604 req, miss ratio 0.2734, byte miss ratio 0.2734
result/tencentBlock.ns4769.oracleGeneral.bin                             FIFO cache size   203733, 1450604 req, miss ratio 0.2014, byte miss ratio 0.2014
result/tencentBlock.ns4769.oracleGeneral.bin                              LRU cache size      254, 1450604 req, miss ratio 0.5222, byte miss ratio 0.5222
result/tencentBlock.ns4769.oracleGeneral.bin                              LRU cache size      764, 1450604 req, miss ratio 0.5134, byte miss ratio 0.5134
