result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      128, 1020735 req, miss ratio 0.6019, byte miss ratio 0.6019
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      384, 1020735 req, miss ratio 0.5798, byte miss ratio 0.5798
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1281, 1020735 req, miss ratio 0.5730, byte miss ratio 0.5730
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3843, 1020735 req, miss ratio 0.5704, byte miss ratio 0.5704
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12812, 1020735 req, miss ratio 0.5679, byte miss ratio 0.5679
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    25625, 1020735 req, miss ratio 0.4812, byte miss ratio 0.4812
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    51250, 1020735 req, miss ratio 0.4155, byte miss ratio 0.4155
result/tencentBlock.ns2499.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   102501, 1020735 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      128, 1020735 req, miss ratio 0.5976, byte miss ratio 0.5976
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      384, 1020735 req, miss ratio 0.5786, byte miss ratio 0.5786
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1281, 1020735 req, miss ratio 0.5713, byte miss ratio 0.5713
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3843, 1020735 req, miss ratio 0.5701, byte miss ratio 0.5701
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12812, 1020735 req, miss ratio 0.5679, byte miss ratio 0.5679
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    25625, 1020735 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    51250, 1020735 req, miss ratio 0.3918, byte miss ratio 0.3918
result/tencentBlock.ns2499.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   102501, 1020735 req, miss ratio 0.1687, byte miss ratio 0.1687
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size      128, 1020735 req, miss ratio 0.6714, byte miss ratio 0.6714
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size      384, 1020735 req, miss ratio 0.6220, byte miss ratio 0.6220
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size     1281, 1020735 req, miss ratio 0.5912, byte miss ratio 0.5912
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size     3843, 1020735 req, miss ratio 0.5789, byte miss ratio 0.5789
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size    12812, 1020735 req, miss ratio 0.5726, byte miss ratio 0.5726
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size    25625, 1020735 req, miss ratio 0.5137, byte miss ratio 0.5137
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size    51250, 1020735 req, miss ratio 0.3711, byte miss ratio 0.3711
result/tencentBlock.ns2499.oracleGeneral.bin                             FIFO cache size   102501, 1020735 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size      128, 1020735 req, miss ratio 0.6204, byte miss ratio 0.6204
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size      384, 1020735 req, miss ratio 0.5927, byte miss ratio 0.5927
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size     1281, 1020735 req, miss ratio 0.5769, byte miss ratio 0.5769
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size     3843, 1020735 req, miss ratio 0.5720, byte miss ratio 0.5720
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size    12812, 1020735 req, miss ratio 0.5698, byte miss ratio 0.5698
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size    25625, 1020735 req, miss ratio 0.5032, byte miss ratio 0.5032
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size    51250, 1020735 req, miss ratio 0.4201, byte miss ratio 0.4201
result/tencentBlock.ns2499.oracleGeneral.bin                              LRU cache size   102501, 1020735 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      128, 1020735 req, miss ratio 0.5965, byte miss ratio 0.5965
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      384, 1020735 req, miss ratio 0.5779, byte miss ratio 0.5779
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1281, 1020735 req, miss ratio 0.5729, byte miss ratio 0.5729
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3843, 1020735 req, miss ratio 0.5705, byte miss ratio 0.5705
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12812, 1020735 req, miss ratio 0.5676, byte miss ratio 0.5676
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    25625, 1020735 req, miss ratio 0.4874, byte miss ratio 0.4874
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    51250, 1020735 req, miss ratio 0.4130, byte miss ratio 0.4130
result/tencentBlock.ns2499.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   102501, 1020735 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      128, 1020735 req, miss ratio 0.5986, byte miss ratio 0.5986
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      384, 1020735 req, miss ratio 0.5789, byte miss ratio 0.5789
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1281, 1020735 req, miss ratio 0.5729, byte miss ratio 0.5729
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     3843, 1020735 req, miss ratio 0.5705, byte miss ratio 0.5705
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    12812, 1020735 req, miss ratio 0.5676, byte miss ratio 0.5676
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    25625, 1020735 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    51250, 1020735 req, miss ratio 0.4142, byte miss ratio 0.4142
result/tencentBlock.ns2499.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   102501, 1020735 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns2499.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      128, 1020735 req, miss ratio 0.6106, byte miss ratio 0.6106
