result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3045, 26532121 req, miss ratio 0.6013, byte miss ratio 0.6013
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     9136, 26532121 req, miss ratio 0.5569, byte miss ratio 0.5569
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    30455, 26532121 req, miss ratio 0.5204, byte miss ratio 0.5204
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    91366, 26532121 req, miss ratio 0.4672, byte miss ratio 0.4672
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   304556, 26532121 req, miss ratio 0.3650, byte miss ratio 0.3650
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   609112, 26532121 req, miss ratio 0.3008, byte miss ratio 0.3008
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1218225, 26532121 req, miss ratio 0.2091, byte miss ratio 0.2091
result/w26.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  2436451, 26532121 req, miss ratio 0.1195, byte miss ratio 0.1195
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3045, 26532121 req, miss ratio 0.5935, byte miss ratio 0.5935
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9136, 26532121 req, miss ratio 0.5563, byte miss ratio 0.5563
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    30455, 26532121 req, miss ratio 0.5083, byte miss ratio 0.5083
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    91366, 26532121 req, miss ratio 0.4460, byte miss ratio 0.4460
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   304556, 26532121 req, miss ratio 0.3519, byte miss ratio 0.3519
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   609112, 26532121 req, miss ratio 0.2965, byte miss ratio 0.2965
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1218225, 26532121 req, miss ratio 0.2077, byte miss ratio 0.2077
result/w26.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  2436451, 26532121 req, miss ratio 0.1195, byte miss ratio 0.1195
result/w26.oracleGeneral.bin                              LRU cache size     3045, 26532121 req, miss ratio 0.6158, byte miss ratio 0.6158
result/w26.oracleGeneral.bin                              LRU cache size     9136, 26532121 req, miss ratio 0.5834, byte miss ratio 0.5834
