result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      503, 4402336 req, miss ratio 0.6053, byte miss ratio 0.6053
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1509, 4402336 req, miss ratio 0.4507, byte miss ratio 0.4507
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5032, 4402336 req, miss ratio 0.4310, byte miss ratio 0.4310
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15097, 4402336 req, miss ratio 0.3944, byte miss ratio 0.3944
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    50325, 4402336 req, miss ratio 0.3476, byte miss ratio 0.3476
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   100650, 4402336 req, miss ratio 0.2922, byte miss ratio 0.2922
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   201300, 4402336 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns4778.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   402600, 4402336 req, miss ratio 0.1151, byte miss ratio 0.1151
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      503, 4402336 req, miss ratio 0.6013, byte miss ratio 0.6013
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1509, 4402336 req, miss ratio 0.4535, byte miss ratio 0.4535
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5032, 4402336 req, miss ratio 0.4303, byte miss ratio 0.4303
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15097, 4402336 req, miss ratio 0.3964, byte miss ratio 0.3964
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    50325, 4402336 req, miss ratio 0.3443, byte miss ratio 0.3443
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   100650, 4402336 req, miss ratio 0.2763, byte miss ratio 0.2763
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   201300, 4402336 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns4778.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   402600, 4402336 req, miss ratio 0.1151, byte miss ratio 0.1151
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size      503, 4402336 req, miss ratio 0.7115, byte miss ratio 0.7115
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size     1509, 4402336 req, miss ratio 0.5874, byte miss ratio 0.5874
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size     5032, 4402336 req, miss ratio 0.4923, byte miss ratio 0.4923
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size    15097, 4402336 req, miss ratio 0.4390, byte miss ratio 0.4390
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size    50325, 4402336 req, miss ratio 0.3747, byte miss ratio 0.3747
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size   100650, 4402336 req, miss ratio 0.3449, byte miss ratio 0.3449
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size   201300, 4402336 req, miss ratio 0.2020, byte miss ratio 0.2020
result/tencentBlock.ns4778.oracleGeneral.bin                             FIFO cache size   402600, 4402336 req, miss ratio 0.1374, byte miss ratio 0.1374
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size      503, 4402336 req, miss ratio 0.6333, byte miss ratio 0.6333
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size     1509, 4402336 req, miss ratio 0.5439, byte miss ratio 0.5439
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size     5032, 4402336 req, miss ratio 0.4532, byte miss ratio 0.4532
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size    15097, 4402336 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size    50325, 4402336 req, miss ratio 0.3603, byte miss ratio 0.3603
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size   100650, 4402336 req, miss ratio 0.3328, byte miss ratio 0.3328
result/tencentBlock.ns4778.oracleGeneral.bin                              LRU cache size   201300, 4402336 req, miss ratio 0.1611, byte miss ratio 0.1611
