result/msr_proj_4.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   600505, 6465639 req, miss ratio 0.5101, byte miss ratio 0.5101
result/msr_proj_4.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
result/msr_proj_4.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  2402020, 6465639 req, miss ratio 0.4688, byte miss ratio 0.4688
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9886, byte miss ratio 0.9886
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9007, 6465639 req, miss ratio 0.9832, byte miss ratio 0.9832
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9578, byte miss ratio 0.9578
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    90075, 6465639 req, miss ratio 0.8897, byte miss ratio 0.8897
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.8110, byte miss ratio 0.8110
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.5248, byte miss ratio 0.5248
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.5057, byte miss ratio 0.5057
result/msr_proj_4.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  2402020, 6465639 req, miss ratio 0.4703, byte miss ratio 0.4703
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3002, 6465639 req, miss ratio 0.9883, byte miss ratio 0.9883
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9007, 6465639 req, miss ratio 0.9775, byte miss ratio 0.9775
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    30025, 6465639 req, miss ratio 0.9411, byte miss ratio 0.9411
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    90075, 6465639 req, miss ratio 0.8802, byte miss ratio 0.8802
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   300252, 6465639 req, miss ratio 0.7350, byte miss ratio 0.7350
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   600505, 6465639 req, miss ratio 0.5105, byte miss ratio 0.5105
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
result/msr_proj_4.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  2402020, 6465639 req, miss ratio 0.4688, byte miss ratio 0.4688
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3002, 6465639 req, miss ratio 0.9899, byte miss ratio 0.9899
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9007, 6465639 req, miss ratio 0.9781, byte miss ratio 0.9781
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    30025, 6465639 req, miss ratio 0.9576, byte miss ratio 0.9576
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    90075, 6465639 req, miss ratio 0.8844, byte miss ratio 0.8844
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   300252, 6465639 req, miss ratio 0.7291, byte miss ratio 0.7291
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   600505, 6465639 req, miss ratio 0.5075, byte miss ratio 0.5075
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
result/msr_proj_4.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  2402020, 6465639 req, miss ratio 0.4688, byte miss ratio 0.4688
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9888, byte miss ratio 0.9888
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9007, 6465639 req, miss ratio 0.9829, byte miss ratio 0.9829
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9607, byte miss ratio 0.9607
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    90075, 6465639 req, miss ratio 0.9191, byte miss ratio 0.9191
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.8286, byte miss ratio 0.8286
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.6871, byte miss ratio 0.6871
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.6396, byte miss ratio 0.6396
result/msr_proj_4.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  2402020, 6465639 req, miss ratio 0.6413, byte miss ratio 0.6413
result/msr_proj_4.oracleGeneral                             FIFO cache size     3002, 6465639 req, miss ratio 0.9907, byte miss ratio 0.9907
result/msr_proj_4.oracleGeneral                             FIFO cache size    15012, 6465639 req, miss ratio 0.9827, byte miss ratio 0.9827
result/msr_proj_4.oracleGeneral                             FIFO cache size    30025, 6465639 req, miss ratio 0.9785, byte miss ratio 0.9785
result/msr_proj_4.oracleGeneral                             FIFO cache size    60050, 6465639 req, miss ratio 0.9341, byte miss ratio 0.9341
result/msr_proj_4.oracleGeneral                             FIFO cache size   150126, 6465639 req, miss ratio 0.9107, byte miss ratio 0.9107
result/msr_proj_4.oracleGeneral                             FIFO cache size   300252, 6465639 req, miss ratio 0.8020, byte miss ratio 0.8020
