result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      239, 10005388 req, miss ratio 0.2606, byte miss ratio 0.2606
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      719, 10005388 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2399, 10005388 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7199, 10005388 req, miss ratio 0.1345, byte miss ratio 0.1345
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    23999, 10005388 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    47999, 10005388 req, miss ratio 0.0625, byte miss ratio 0.0625
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    95999, 10005388 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns4651.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   191999, 10005388 req, miss ratio 0.0243, byte miss ratio 0.0243
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      239, 10005388 req, miss ratio 0.2575, byte miss ratio 0.2575
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      719, 10005388 req, miss ratio 0.1629, byte miss ratio 0.1629
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2399, 10005388 req, miss ratio 0.1432, byte miss ratio 0.1432
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7199, 10005388 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    23999, 10005388 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    47999, 10005388 req, miss ratio 0.0602, byte miss ratio 0.0602
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    95999, 10005388 req, miss ratio 0.0329, byte miss ratio 0.0329
result/tencentBlock.ns4651.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   191999, 10005388 req, miss ratio 0.0243, byte miss ratio 0.0243
result/tencentBlock.ns4651.oracleGeneral.bin                             FIFO cache size      239, 10005388 req, miss ratio 0.4149, byte miss ratio 0.4149
