result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      360, 3002992 req, miss ratio 0.5142, byte miss ratio 0.5142
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1081, 3002992 req, miss ratio 0.4863, byte miss ratio 0.4863
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3605, 3002992 req, miss ratio 0.4376, byte miss ratio 0.4376
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10815, 3002992 req, miss ratio 0.4292, byte miss ratio 0.4292
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36050, 3002992 req, miss ratio 0.3748, byte miss ratio 0.3748
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72101, 3002992 req, miss ratio 0.3367, byte miss ratio 0.3367
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   144202, 3002992 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns2434.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   288404, 3002992 req, miss ratio 0.1240, byte miss ratio 0.1240
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      360, 3002992 req, miss ratio 0.5115, byte miss ratio 0.5115
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1081, 3002992 req, miss ratio 0.4870, byte miss ratio 0.4870
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3605, 3002992 req, miss ratio 0.4357, byte miss ratio 0.4357
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10815, 3002992 req, miss ratio 0.4280, byte miss ratio 0.4280
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36050, 3002992 req, miss ratio 0.3663, byte miss ratio 0.3663
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    72101, 3002992 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns2434.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   144202, 3002992 req, miss ratio 0.2087, byte miss ratio 0.2087
