result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      694, 11451546 req, miss ratio 0.5297, byte miss ratio 0.5297
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2084, 11451546 req, miss ratio 0.4977, byte miss ratio 0.4977
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     6948, 11451546 req, miss ratio 0.4464, byte miss ratio 0.4464
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    20845, 11451546 req, miss ratio 0.4011, byte miss ratio 0.4011
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    69483, 11451546 req, miss ratio 0.1459, byte miss ratio 0.1459
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   138967, 11451546 req, miss ratio 0.0937, byte miss ratio 0.0937
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   277935, 11451546 req, miss ratio 0.0638, byte miss ratio 0.0638
result/w52.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   555871, 11451546 req, miss ratio 0.0628, byte miss ratio 0.0628
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      694, 11451546 req, miss ratio 0.5285, byte miss ratio 0.5285
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2084, 11451546 req, miss ratio 0.4954, byte miss ratio 0.4954
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     6948, 11451546 req, miss ratio 0.4475, byte miss ratio 0.4475
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    20845, 11451546 req, miss ratio 0.4021, byte miss ratio 0.4021
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    69483, 11451546 req, miss ratio 0.1536, byte miss ratio 0.1536
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   138967, 11451546 req, miss ratio 0.0950, byte miss ratio 0.0950
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   277935, 11451546 req, miss ratio 0.0659, byte miss ratio 0.0659
result/w52.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   555871, 11451546 req, miss ratio 0.0619, byte miss ratio 0.0619
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      694, 11451546 req, miss ratio 0.5949, byte miss ratio 0.5949
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2084, 11451546 req, miss ratio 0.5597, byte miss ratio 0.5597
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6948, 11451546 req, miss ratio 0.5193, byte miss ratio 0.5193
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    20845, 11451546 req, miss ratio 0.4287, byte miss ratio 0.4287
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    69483, 11451546 req, miss ratio 0.1625, byte miss ratio 0.1625
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   138967, 11451546 req, miss ratio 0.0935, byte miss ratio 0.0935
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   277935, 11451546 req, miss ratio 0.0642, byte miss ratio 0.0642
result/w52.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   555871, 11451546 req, miss ratio 0.0619, byte miss ratio 0.0619
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      694, 11451546 req, miss ratio 0.5287, byte miss ratio 0.5287
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2084, 11451546 req, miss ratio 0.4950, byte miss ratio 0.4950
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     6948, 11451546 req, miss ratio 0.4464, byte miss ratio 0.4464
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    20845, 11451546 req, miss ratio 0.4025, byte miss ratio 0.4025
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    69483, 11451546 req, miss ratio 0.1558, byte miss ratio 0.1558
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   138967, 11451546 req, miss ratio 0.1180, byte miss ratio 0.1180
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   277935, 11451546 req, miss ratio 0.0991, byte miss ratio 0.0991
result/w52.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   555871, 11451546 req, miss ratio 0.1069, byte miss ratio 0.1069
