result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      296, 5639709 req, miss ratio 0.2843, byte miss ratio 0.2843
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      888, 5639709 req, miss ratio 0.2447, byte miss ratio 0.2447
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2961, 5639709 req, miss ratio 0.2176, byte miss ratio 0.2176
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8884, 5639709 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    29615, 5639709 req, miss ratio 0.1560, byte miss ratio 0.1560
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    59230, 5639709 req, miss ratio 0.1299, byte miss ratio 0.1299
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   118460, 5639709 req, miss ratio 0.0772, byte miss ratio 0.0772
result/tencentBlock.ns3200.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   236920, 5639709 req, miss ratio 0.0535, byte miss ratio 0.0535
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      296, 5639709 req, miss ratio 0.2812, byte miss ratio 0.2812
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      888, 5639709 req, miss ratio 0.2426, byte miss ratio 0.2426
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2961, 5639709 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8884, 5639709 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    29615, 5639709 req, miss ratio 0.1549, byte miss ratio 0.1549
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    59230, 5639709 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   118460, 5639709 req, miss ratio 0.0766, byte miss ratio 0.0766
result/tencentBlock.ns3200.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   236920, 5639709 req, miss ratio 0.0535, byte miss ratio 0.0535
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size      296, 5639709 req, miss ratio 0.3773, byte miss ratio 0.3773
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size      888, 5639709 req, miss ratio 0.2866, byte miss ratio 0.2866
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size     2961, 5639709 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size     8884, 5639709 req, miss ratio 0.2147, byte miss ratio 0.2147
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size    29615, 5639709 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size    59230, 5639709 req, miss ratio 0.1474, byte miss ratio 0.1474
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size   118460, 5639709 req, miss ratio 0.0924, byte miss ratio 0.0924
result/tencentBlock.ns3200.oracleGeneral.bin                             FIFO cache size   236920, 5639709 req, miss ratio 0.0634, byte miss ratio 0.0634
result/tencentBlock.ns3200.oracleGeneral.bin                              LRU cache size      296, 5639709 req, miss ratio 0.3163, byte miss ratio 0.3163
