result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2451, 16894445 req, miss ratio 0.8365, byte miss ratio 0.8365
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7355, 16894445 req, miss ratio 0.8155, byte miss ratio 0.8155
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    24519, 16894445 req, miss ratio 0.7845, byte miss ratio 0.7845
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    73557, 16894445 req, miss ratio 0.7320, byte miss ratio 0.7320
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   245191, 16894445 req, miss ratio 0.6349, byte miss ratio 0.6349
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   490383, 16894445 req, miss ratio 0.5628, byte miss ratio 0.5628
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   980767, 16894445 req, miss ratio 0.4799, byte miss ratio 0.4799
result/w42.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1961535, 16894445 req, miss ratio 0.1539, byte miss ratio 0.1539
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2451, 16894445 req, miss ratio 0.8351, byte miss ratio 0.8351
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7355, 16894445 req, miss ratio 0.8133, byte miss ratio 0.8133
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    24519, 16894445 req, miss ratio 0.7837, byte miss ratio 0.7837
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    73557, 16894445 req, miss ratio 0.7338, byte miss ratio 0.7338
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   245191, 16894445 req, miss ratio 0.6362, byte miss ratio 0.6362
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   490383, 16894445 req, miss ratio 0.5619, byte miss ratio 0.5619
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   980767, 16894445 req, miss ratio 0.4590, byte miss ratio 0.4590
result/w42.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1961535, 16894445 req, miss ratio 0.1539, byte miss ratio 0.1539
