result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      362, 3200000 req, miss ratio 0.6675, byte miss ratio 0.6675
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1087, 3200000 req, miss ratio 0.6424, byte miss ratio 0.6424
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3624, 3200000 req, miss ratio 0.5936, byte miss ratio 0.5936
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10874, 3200000 req, miss ratio 0.5154, byte miss ratio 0.5154
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36247, 3200000 req, miss ratio 0.3484, byte miss ratio 0.3484
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72494, 3200000 req, miss ratio 0.2630, byte miss ratio 0.2630
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   144988, 3200000 req, miss ratio 0.1716, byte miss ratio 0.1716
result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   289976, 3200000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      362, 3200000 req, miss ratio 0.6652, byte miss ratio 0.6652
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1087, 3200000 req, miss ratio 0.6391, byte miss ratio 0.6391
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3624, 3200000 req, miss ratio 0.5881, byte miss ratio 0.5881
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10874, 3200000 req, miss ratio 0.5063, byte miss ratio 0.5063
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36247, 3200000 req, miss ratio 0.3463, byte miss ratio 0.3463
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    72494, 3200000 req, miss ratio 0.2631, byte miss ratio 0.2631
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   144988, 3200000 req, miss ratio 0.1721, byte miss ratio 0.1721
result/io_traces.ns355.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   289976, 3200000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size      362, 3200000 req, miss ratio 0.7067, byte miss ratio 0.7067
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size     1087, 3200000 req, miss ratio 0.6723, byte miss ratio 0.6723
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size     3624, 3200000 req, miss ratio 0.6243, byte miss ratio 0.6243
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size    10874, 3200000 req, miss ratio 0.5528, byte miss ratio 0.5528
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size    36247, 3200000 req, miss ratio 0.4806, byte miss ratio 0.4806
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size    72494, 3200000 req, miss ratio 0.3442, byte miss ratio 0.3442
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size   144988, 3200000 req, miss ratio 0.2233, byte miss ratio 0.2233
result/io_traces.ns355.oracleGeneral.bin                             FIFO cache size   289976, 3200000 req, miss ratio 0.1346, byte miss ratio 0.1346
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size      362, 3200000 req, miss ratio 0.6936, byte miss ratio 0.6936
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size     1087, 3200000 req, miss ratio 0.6611, byte miss ratio 0.6611
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size     3624, 3200000 req, miss ratio 0.6149, byte miss ratio 0.6149
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size    10874, 3200000 req, miss ratio 0.5413, byte miss ratio 0.5413
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size    36247, 3200000 req, miss ratio 0.4653, byte miss ratio 0.4653
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size    72494, 3200000 req, miss ratio 0.2894, byte miss ratio 0.2894
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size   144988, 3200000 req, miss ratio 0.1848, byte miss ratio 0.1848
result/io_traces.ns355.oracleGeneral.bin                              LRU cache size   289976, 3200000 req, miss ratio 0.1166, byte miss ratio 0.1166
