result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      551, 4502497 req, miss ratio 0.5682, byte miss ratio 0.5682
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1654, 4502497 req, miss ratio 0.3933, byte miss ratio 0.3933
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5515, 4502497 req, miss ratio 0.3706, byte miss ratio 0.3706
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    16546, 4502497 req, miss ratio 0.3270, byte miss ratio 0.3270
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    55155, 4502497 req, miss ratio 0.2835, byte miss ratio 0.2835
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   110310, 4502497 req, miss ratio 0.2232, byte miss ratio 0.2232
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   220620, 4502497 req, miss ratio 0.1511, byte miss ratio 0.1511
result/tencentBlock.ns3142.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   441241, 4502497 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      551, 4502497 req, miss ratio 0.5618, byte miss ratio 0.5618
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1654, 4502497 req, miss ratio 0.3930, byte miss ratio 0.3930
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5515, 4502497 req, miss ratio 0.3709, byte miss ratio 0.3709
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    16546, 4502497 req, miss ratio 0.3314, byte miss ratio 0.3314
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    55155, 4502497 req, miss ratio 0.2778, byte miss ratio 0.2778
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   110310, 4502497 req, miss ratio 0.2216, byte miss ratio 0.2216
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   220620, 4502497 req, miss ratio 0.1511, byte miss ratio 0.1511
result/tencentBlock.ns3142.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   441241, 4502497 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size      551, 4502497 req, miss ratio 0.6749, byte miss ratio 0.6749
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size     1654, 4502497 req, miss ratio 0.5353, byte miss ratio 0.5353
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size     5515, 4502497 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size    16546, 4502497 req, miss ratio 0.3658, byte miss ratio 0.3658
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size    55155, 4502497 req, miss ratio 0.2956, byte miss ratio 0.2956
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size   110310, 4502497 req, miss ratio 0.2396, byte miss ratio 0.2396
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size   220620, 4502497 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns3142.oracleGeneral.bin                             FIFO cache size   441241, 4502497 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size      551, 4502497 req, miss ratio 0.5980, byte miss ratio 0.5980
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size     1654, 4502497 req, miss ratio 0.4892, byte miss ratio 0.4892
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size     5515, 4502497 req, miss ratio 0.3849, byte miss ratio 0.3849
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size    16546, 4502497 req, miss ratio 0.3443, byte miss ratio 0.3443
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size    55155, 4502497 req, miss ratio 0.2807, byte miss ratio 0.2807
result/tencentBlock.ns3142.oracleGeneral.bin                              LRU cache size   110310, 4502497 req, miss ratio 0.2344, byte miss ratio 0.2344
