result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      151, 2600000 req, miss ratio 0.5939, byte miss ratio 0.5939
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      454, 2600000 req, miss ratio 0.5629, byte miss ratio 0.5629
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1516, 2600000 req, miss ratio 0.4907, byte miss ratio 0.4907
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4548, 2600000 req, miss ratio 0.4754, byte miss ratio 0.4754
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15160, 2600000 req, miss ratio 0.3771, byte miss ratio 0.3771
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    30321, 2600000 req, miss ratio 0.2575, byte miss ratio 0.2575
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    60642, 2600000 req, miss ratio 0.0768, byte miss ratio 0.0768
result/io_traces.ns101.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   121284, 2600000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      151, 2600000 req, miss ratio 0.5923, byte miss ratio 0.5923
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      454, 2600000 req, miss ratio 0.5591, byte miss ratio 0.5591
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1516, 2600000 req, miss ratio 0.4892, byte miss ratio 0.4892
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4548, 2600000 req, miss ratio 0.4753, byte miss ratio 0.4753
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15160, 2600000 req, miss ratio 0.3764, byte miss ratio 0.3764
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    30321, 2600000 req, miss ratio 0.2465, byte miss ratio 0.2465
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    60642, 2600000 req, miss ratio 0.0781, byte miss ratio 0.0781
result/io_traces.ns101.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   121284, 2600000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size      151, 2600000 req, miss ratio 0.7981, byte miss ratio 0.7981
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size      454, 2600000 req, miss ratio 0.6473, byte miss ratio 0.6473
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size     1516, 2600000 req, miss ratio 0.5734, byte miss ratio 0.5734
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size     4548, 2600000 req, miss ratio 0.5304, byte miss ratio 0.5304
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size    15160, 2600000 req, miss ratio 0.4732, byte miss ratio 0.4732
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size    30321, 2600000 req, miss ratio 0.3003, byte miss ratio 0.3003
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size    60642, 2600000 req, miss ratio 0.1241, byte miss ratio 0.1241
result/io_traces.ns101.oracleGeneral.bin                             FIFO cache size   121284, 2600000 req, miss ratio 0.0714, byte miss ratio 0.0714
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size      151, 2600000 req, miss ratio 0.7582, byte miss ratio 0.7582
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size      454, 2600000 req, miss ratio 0.5721, byte miss ratio 0.5721
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size     1516, 2600000 req, miss ratio 0.5466, byte miss ratio 0.5466
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size     4548, 2600000 req, miss ratio 0.5127, byte miss ratio 0.5127
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size    15160, 2600000 req, miss ratio 0.4672, byte miss ratio 0.4672
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size    30321, 2600000 req, miss ratio 0.2855, byte miss ratio 0.2855
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size    60642, 2600000 req, miss ratio 0.0722, byte miss ratio 0.0722
result/io_traces.ns101.oracleGeneral.bin                              LRU cache size   121284, 2600000 req, miss ratio 0.0583, byte miss ratio 0.0583
result/io_traces.ns101.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      151, 2600000 req, miss ratio 0.5877, byte miss ratio 0.5877
result/io_traces.ns101.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      454, 2600000 req, miss ratio 0.5603, byte miss ratio 0.5603
result/io_traces.ns101.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1516, 2600000 req, miss ratio 0.4908, byte miss ratio 0.4908
result/io_traces.ns101.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     4548, 2600000 req, miss ratio 0.4742, byte miss ratio 0.4742
