result/io_traces.ns367.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     9190, 1400000 req, miss ratio 0.3416, byte miss ratio 0.3416
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    18381, 1400000 req, miss ratio 0.1969, byte miss ratio 0.1969
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    36762, 1400000 req, miss ratio 0.1040, byte miss ratio 0.1040
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    73525, 1400000 req, miss ratio 0.0752, byte miss ratio 0.0752
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size       91, 1400000 req, miss ratio 0.4852, byte miss ratio 0.4852
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      275, 1400000 req, miss ratio 0.4605, byte miss ratio 0.4605
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      919, 1400000 req, miss ratio 0.4501, byte miss ratio 0.4501
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2757, 1400000 req, miss ratio 0.4407, byte miss ratio 0.4407
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9190, 1400000 req, miss ratio 0.4222, byte miss ratio 0.4222
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    18381, 1400000 req, miss ratio 0.1821, byte miss ratio 0.1821
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    36762, 1400000 req, miss ratio 0.1041, byte miss ratio 0.1041
result/io_traces.ns367.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    73525, 1400000 req, miss ratio 0.0794, byte miss ratio 0.0794
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size       91, 1400000 req, miss ratio 0.4861, byte miss ratio 0.4861
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      275, 1400000 req, miss ratio 0.4672, byte miss ratio 0.4672
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      919, 1400000 req, miss ratio 0.4612, byte miss ratio 0.4612
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2757, 1400000 req, miss ratio 0.4535, byte miss ratio 0.4535
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9190, 1400000 req, miss ratio 0.3434, byte miss ratio 0.3434
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    18381, 1400000 req, miss ratio 0.1984, byte miss ratio 0.1984
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    36762, 1400000 req, miss ratio 0.1040, byte miss ratio 0.1040
result/io_traces.ns367.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    73525, 1400000 req, miss ratio 0.0752, byte miss ratio 0.0752
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size       91, 1400000 req, miss ratio 0.5513, byte miss ratio 0.5513
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      275, 1400000 req, miss ratio 0.5151, byte miss ratio 0.5151
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      919, 1400000 req, miss ratio 0.4772, byte miss ratio 0.4772
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2757, 1400000 req, miss ratio 0.4551, byte miss ratio 0.4551
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9190, 1400000 req, miss ratio 0.3307, byte miss ratio 0.3307
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    18381, 1400000 req, miss ratio 0.2045, byte miss ratio 0.2045
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    36762, 1400000 req, miss ratio 0.1042, byte miss ratio 0.1042
result/io_traces.ns367.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    73525, 1400000 req, miss ratio 0.0752, byte miss ratio 0.0752
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size       91, 1400000 req, miss ratio 0.4842, byte miss ratio 0.4842
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      275, 1400000 req, miss ratio 0.4591, byte miss ratio 0.4591
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      919, 1400000 req, miss ratio 0.4498, byte miss ratio 0.4498
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2757, 1400000 req, miss ratio 0.4319, byte miss ratio 0.4319
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9190, 1400000 req, miss ratio 0.2921, byte miss ratio 0.2921
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    18381, 1400000 req, miss ratio 0.2007, byte miss ratio 0.2007
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    36762, 1400000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns367.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    73525, 1400000 req, miss ratio 0.1030, byte miss ratio 0.1030
