result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       88, 4400000 req, miss ratio 0.4291, byte miss ratio 0.4291
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      265, 4400000 req, miss ratio 0.3669, byte miss ratio 0.3669
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      883, 4400000 req, miss ratio 0.3544, byte miss ratio 0.3544
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2650, 4400000 req, miss ratio 0.3461, byte miss ratio 0.3461
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8835, 4400000 req, miss ratio 0.3199, byte miss ratio 0.3199
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    17670, 4400000 req, miss ratio 0.2673, byte miss ratio 0.2673
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    35340, 4400000 req, miss ratio 0.1863, byte miss ratio 0.1863
result/io_traces.ns370.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    70680, 4400000 req, miss ratio 0.0244, byte miss ratio 0.0244
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       88, 4400000 req, miss ratio 0.4181, byte miss ratio 0.4181
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      265, 4400000 req, miss ratio 0.3644, byte miss ratio 0.3644
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      883, 4400000 req, miss ratio 0.3540, byte miss ratio 0.3540
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2650, 4400000 req, miss ratio 0.3434, byte miss ratio 0.3434
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8835, 4400000 req, miss ratio 0.3193, byte miss ratio 0.3193
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    17670, 4400000 req, miss ratio 0.2740, byte miss ratio 0.2740
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    35340, 4400000 req, miss ratio 0.1718, byte miss ratio 0.1718
result/io_traces.ns370.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    70680, 4400000 req, miss ratio 0.0267, byte miss ratio 0.0267
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size       88, 4400000 req, miss ratio 0.4707, byte miss ratio 0.4707
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size      265, 4400000 req, miss ratio 0.4090, byte miss ratio 0.4090
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size      883, 4400000 req, miss ratio 0.3711, byte miss ratio 0.3711
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size     2650, 4400000 req, miss ratio 0.3560, byte miss ratio 0.3560
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size     8835, 4400000 req, miss ratio 0.3477, byte miss ratio 0.3477
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size    17670, 4400000 req, miss ratio 0.3443, byte miss ratio 0.3443
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size    35340, 4400000 req, miss ratio 0.2112, byte miss ratio 0.2112
result/io_traces.ns370.oracleGeneral.bin                             FIFO cache size    70680, 4400000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size       88, 4400000 req, miss ratio 0.4238, byte miss ratio 0.4238
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size      265, 4400000 req, miss ratio 0.3879, byte miss ratio 0.3879
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size      883, 4400000 req, miss ratio 0.3533, byte miss ratio 0.3533
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size     2650, 4400000 req, miss ratio 0.3472, byte miss ratio 0.3472
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size     8835, 4400000 req, miss ratio 0.3442, byte miss ratio 0.3442
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size    17670, 4400000 req, miss ratio 0.3418, byte miss ratio 0.3418
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size    35340, 4400000 req, miss ratio 0.2228, byte miss ratio 0.2228
result/io_traces.ns370.oracleGeneral.bin                              LRU cache size    70680, 4400000 req, miss ratio 0.0249, byte miss ratio 0.0249
result/io_traces.ns370.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size       88, 4400000 req, miss ratio 0.4091, byte miss ratio 0.4091
result/io_traces.ns370.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      265, 4400000 req, miss ratio 0.3594, byte miss ratio 0.3594
result/io_traces.ns370.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      883, 4400000 req, miss ratio 0.3502, byte miss ratio 0.3502
result/io_traces.ns370.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     2650, 4400000 req, miss ratio 0.3464, byte miss ratio 0.3464
