result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     4886, 7795815 req, miss ratio 0.5330, byte miss ratio 0.5330
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     9773, 7795815 req, miss ratio 0.5263, byte miss ratio 0.5263
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    24433, 7795815 req, miss ratio 0.4426, byte miss ratio 0.4426
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    48866, 7795815 req, miss ratio 0.2516, byte miss ratio 0.2516
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    97733, 7795815 req, miss ratio 0.1701, byte miss ratio 0.1701
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   195466, 7795815 req, miss ratio 0.0888, byte miss ratio 0.0888
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size      488, 7795815 req, miss ratio 0.6492, byte miss ratio 0.6492
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     2443, 7795815 req, miss ratio 0.5400, byte miss ratio 0.5400
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     4886, 7795815 req, miss ratio 0.5327, byte miss ratio 0.5327
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     9773, 7795815 req, miss ratio 0.5237, byte miss ratio 0.5237
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    24433, 7795815 req, miss ratio 0.4422, byte miss ratio 0.4422
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    48866, 7795815 req, miss ratio 0.2429, byte miss ratio 0.2429
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    97733, 7795815 req, miss ratio 0.1694, byte miss ratio 0.1694
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size   195466, 7795815 req, miss ratio 0.0772, byte miss ratio 0.0772
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      488, 7795815 req, miss ratio 0.8307, byte miss ratio 0.8307
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     2443, 7795815 req, miss ratio 0.6378, byte miss ratio 0.6378
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     4886, 7795815 req, miss ratio 0.5732, byte miss ratio 0.5732
