result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3258, 8973201 req, miss ratio 0.2281, byte miss ratio 0.2281
result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9775, 8973201 req, miss ratio 0.2008, byte miss ratio 0.2008
result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    32584, 8973201 req, miss ratio 0.1605, byte miss ratio 0.1605
result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    65168, 8973201 req, miss ratio 0.0873, byte miss ratio 0.0873
result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   130337, 8973201 req, miss ratio 0.0516, byte miss ratio 0.0516
result/fiu_casa-110108-112108.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   260675, 8973201 req, miss ratio 0.0364, byte miss ratio 0.0364
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      325, 8973201 req, miss ratio 0.3149, byte miss ratio 0.3149
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      977, 8973201 req, miss ratio 0.2802, byte miss ratio 0.2802
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     3258, 8973201 req, miss ratio 0.2350, byte miss ratio 0.2350
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9775, 8973201 req, miss ratio 0.2060, byte miss ratio 0.2060
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    32584, 8973201 req, miss ratio 0.1641, byte miss ratio 0.1641
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    65168, 8973201 req, miss ratio 0.0897, byte miss ratio 0.0897
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   130337, 8973201 req, miss ratio 0.0544, byte miss ratio 0.0544
result/fiu_casa-110108-112108.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   260675, 8973201 req, miss ratio 0.0364, byte miss ratio 0.0364
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      325, 8973201 req, miss ratio 0.5654, byte miss ratio 0.5654
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      977, 8973201 req, miss ratio 0.5035, byte miss ratio 0.5035
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3258, 8973201 req, miss ratio 0.3773, byte miss ratio 0.3773
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9775, 8973201 req, miss ratio 0.2898, byte miss ratio 0.2898
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    32584, 8973201 req, miss ratio 0.2067, byte miss ratio 0.2067
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    65168, 8973201 req, miss ratio 0.1244, byte miss ratio 0.1244
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   130337, 8973201 req, miss ratio 0.0592, byte miss ratio 0.0592
result/fiu_casa-110108-112108.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   260675, 8973201 req, miss ratio 0.0364, byte miss ratio 0.0364
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      325, 8973201 req, miss ratio 0.3117, byte miss ratio 0.3117
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      977, 8973201 req, miss ratio 0.2632, byte miss ratio 0.2632
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3258, 8973201 req, miss ratio 0.2291, byte miss ratio 0.2291
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9775, 8973201 req, miss ratio 0.2029, byte miss ratio 0.2029
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    32584, 8973201 req, miss ratio 0.1699, byte miss ratio 0.1699
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    65168, 8973201 req, miss ratio 0.0928, byte miss ratio 0.0928
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   130337, 8973201 req, miss ratio 0.0813, byte miss ratio 0.0813
result/fiu_casa-110108-112108.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   260675, 8973201 req, miss ratio 0.0646, byte miss ratio 0.0646
