result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       40, 1800000 req, miss ratio 0.2752, byte miss ratio 0.2752
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      122, 1800000 req, miss ratio 0.2576, byte miss ratio 0.2576
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      409, 1800000 req, miss ratio 0.2386, byte miss ratio 0.2386
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1227, 1800000 req, miss ratio 0.2265, byte miss ratio 0.2265
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4092, 1800000 req, miss ratio 0.1979, byte miss ratio 0.1979
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8184, 1800000 req, miss ratio 0.1597, byte miss ratio 0.1597
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    16369, 1800000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns341.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    32739, 1800000 req, miss ratio 0.0243, byte miss ratio 0.0243
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       40, 1800000 req, miss ratio 0.2730, byte miss ratio 0.2730
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      122, 1800000 req, miss ratio 0.2554, byte miss ratio 0.2554
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      409, 1800000 req, miss ratio 0.2351, byte miss ratio 0.2351
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1227, 1800000 req, miss ratio 0.2261, byte miss ratio 0.2261
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4092, 1800000 req, miss ratio 0.1956, byte miss ratio 0.1956
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8184, 1800000 req, miss ratio 0.1574, byte miss ratio 0.1574
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    16369, 1800000 req, miss ratio 0.1120, byte miss ratio 0.1120
result/io_traces.ns341.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    32739, 1800000 req, miss ratio 0.0252, byte miss ratio 0.0252
result/io_traces.ns341.oracleGeneral.bin                             FIFO cache size       40, 1800000 req, miss ratio 0.3873, byte miss ratio 0.3873
