result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      415, 3937240 req, miss ratio 0.5278, byte miss ratio 0.5278
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1247, 3937240 req, miss ratio 0.4552, byte miss ratio 0.4552
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4159, 3937240 req, miss ratio 0.3920, byte miss ratio 0.3920
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12479, 3937240 req, miss ratio 0.3135, byte miss ratio 0.3135
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    41599, 3937240 req, miss ratio 0.2473, byte miss ratio 0.2473
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    83199, 3937240 req, miss ratio 0.2108, byte miss ratio 0.2108
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   166398, 3937240 req, miss ratio 0.1551, byte miss ratio 0.1551
result/w95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   332796, 3937240 req, miss ratio 0.1160, byte miss ratio 0.1160
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      415, 3937240 req, miss ratio 0.5298, byte miss ratio 0.5298
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1247, 3937240 req, miss ratio 0.4524, byte miss ratio 0.4524
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4159, 3937240 req, miss ratio 0.3920, byte miss ratio 0.3920
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12479, 3937240 req, miss ratio 0.3062, byte miss ratio 0.3062
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    41599, 3937240 req, miss ratio 0.2463, byte miss ratio 0.2463
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    83199, 3937240 req, miss ratio 0.2100, byte miss ratio 0.2100
result/w95.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   166398, 3937240 req, miss ratio 0.1545, byte miss ratio 0.1545
