result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S4FIFO-0.1000-2 cache size   109834, 14294158 req, miss ratio 0.2296, byte miss ratio 0.2296
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S4FIFO-0.1000-2 cache size   219669, 14294158 req, miss ratio 0.1507, byte miss ratio 0.1507
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      549, 14294158 req, miss ratio 0.7537, byte miss ratio 0.7537
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     2745, 14294158 req, miss ratio 0.6631, byte miss ratio 0.6631
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     5491, 14294158 req, miss ratio 0.6554, byte miss ratio 0.6554
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    10983, 14294158 req, miss ratio 0.6412, byte miss ratio 0.6412
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    27458, 14294158 req, miss ratio 0.6305, byte miss ratio 0.6305
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    54917, 14294158 req, miss ratio 0.4197, byte miss ratio 0.4197
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   109834, 14294158 req, miss ratio 0.2397, byte miss ratio 0.2397
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   219669, 14294158 req, miss ratio 0.1391, byte miss ratio 0.1391
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size      549, 14294158 req, miss ratio 0.7532, byte miss ratio 0.7532
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     2745, 14294158 req, miss ratio 0.6630, byte miss ratio 0.6630
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size     5491, 14294158 req, miss ratio 0.6553, byte miss ratio 0.6553
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    10983, 14294158 req, miss ratio 0.6414, byte miss ratio 0.6414
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    27458, 14294158 req, miss ratio 0.5986, byte miss ratio 0.5986
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size    54917, 14294158 req, miss ratio 0.4211, byte miss ratio 0.4211
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size   109834, 14294158 req, miss ratio 0.2264, byte miss ratio 0.2264
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S3FIFO-0.1000-2 cache size   219669, 14294158 req, miss ratio 0.1461, byte miss ratio 0.1461
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      549, 14294158 req, miss ratio 0.8548, byte miss ratio 0.8548
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     2745, 14294158 req, miss ratio 0.7429, byte miss ratio 0.7429
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     5491, 14294158 req, miss ratio 0.6942, byte miss ratio 0.6942
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    10983, 14294158 req, miss ratio 0.6621, byte miss ratio 0.6621
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    27458, 14294158 req, miss ratio 0.6405, byte miss ratio 0.6405
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    54917, 14294158 req, miss ratio 0.5094, byte miss ratio 0.5094
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   109834, 14294158 req, miss ratio 0.2355, byte miss ratio 0.2355
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   219669, 14294158 req, miss ratio 0.1422, byte miss ratio 0.1422
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      549, 14294158 req, miss ratio 0.7774, byte miss ratio 0.7774
