result/fiu_webusers-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     4693, 7726138 req, miss ratio 0.7306, byte miss ratio 0.7306
result/fiu_webusers-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     9387, 7726138 req, miss ratio 0.7325, byte miss ratio 0.7325
result/fiu_webusers-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    18774, 7726138 req, miss ratio 0.4972, byte miss ratio 0.4972
result/fiu_webusers-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    37549, 7726138 req, miss ratio 0.1739, byte miss ratio 0.1739
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size       93, 7726138 req, miss ratio 0.8105, byte miss ratio 0.8105
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      469, 7726138 req, miss ratio 0.7542, byte miss ratio 0.7542
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      938, 7726138 req, miss ratio 0.7473, byte miss ratio 0.7473
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     1877, 7726138 req, miss ratio 0.7410, byte miss ratio 0.7410
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     4693, 7726138 req, miss ratio 0.7272, byte miss ratio 0.7272
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size     9387, 7726138 req, miss ratio 0.7236, byte miss ratio 0.7236
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size    18774, 7726138 req, miss ratio 0.4942, byte miss ratio 0.4942
result/fiu_webusers-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size    37549, 7726138 req, miss ratio 0.1734, byte miss ratio 0.1734
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size       93, 7726138 req, miss ratio 0.8279, byte miss ratio 0.8279
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      469, 7726138 req, miss ratio 0.7612, byte miss ratio 0.7612
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      938, 7726138 req, miss ratio 0.7515, byte miss ratio 0.7515
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     1877, 7726138 req, miss ratio 0.7459, byte miss ratio 0.7459
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     4693, 7726138 req, miss ratio 0.7295, byte miss ratio 0.7295
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     9387, 7726138 req, miss ratio 0.7188, byte miss ratio 0.7188
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    18774, 7726138 req, miss ratio 0.4434, byte miss ratio 0.4434
result/fiu_webusers-030409-033109.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    37549, 7726138 req, miss ratio 0.1260, byte miss ratio 0.1260
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size       93, 7726138 req, miss ratio 0.8278, byte miss ratio 0.8278
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      469, 7726138 req, miss ratio 0.7598, byte miss ratio 0.7598
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      938, 7726138 req, miss ratio 0.7498, byte miss ratio 0.7498
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1877, 7726138 req, miss ratio 0.7427, byte miss ratio 0.7427
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     4693, 7726138 req, miss ratio 0.7299, byte miss ratio 0.7299
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9387, 7726138 req, miss ratio 0.7188, byte miss ratio 0.7188
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    18774, 7726138 req, miss ratio 0.5320, byte miss ratio 0.5320
result/fiu_webusers-030409-033109.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    37549, 7726138 req, miss ratio 0.2855, byte miss ratio 0.2855
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size       93, 7726138 req, miss ratio 0.8073, byte miss ratio 0.8073
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      469, 7726138 req, miss ratio 0.7549, byte miss ratio 0.7549
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      938, 7726138 req, miss ratio 0.7480, byte miss ratio 0.7480
