result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    24530, 19087784 req, miss ratio 0.7158, byte miss ratio 0.7158
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    49060, 19087784 req, miss ratio 0.6574, byte miss ratio 0.6574
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    98121, 19087784 req, miss ratio 0.6101, byte miss ratio 0.6101
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   245304, 19087784 req, miss ratio 0.5579, byte miss ratio 0.5579
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   490609, 19087784 req, miss ratio 0.5191, byte miss ratio 0.5191
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   981219, 19087784 req, miss ratio 0.4024, byte miss ratio 0.4024
result/w29.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1962438, 19087784 req, miss ratio 0.3052, byte miss ratio 0.3052
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4906, 19087784 req, miss ratio 0.9652, byte miss ratio 0.9652
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    24530, 19087784 req, miss ratio 0.9015, byte miss ratio 0.9015
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    49060, 19087784 req, miss ratio 0.8708, byte miss ratio 0.8708
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    98121, 19087784 req, miss ratio 0.8291, byte miss ratio 0.8291
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   245304, 19087784 req, miss ratio 0.7256, byte miss ratio 0.7256
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   490609, 19087784 req, miss ratio 0.6597, byte miss ratio 0.6597
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   981219, 19087784 req, miss ratio 0.4803, byte miss ratio 0.4803
result/w29.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1962438, 19087784 req, miss ratio 0.3071, byte miss ratio 0.3071
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4906, 19087784 req, miss ratio 0.9199, byte miss ratio 0.9199
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    24530, 19087784 req, miss ratio 0.7524, byte miss ratio 0.7524
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    49060, 19087784 req, miss ratio 0.6764, byte miss ratio 0.6764
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    98121, 19087784 req, miss ratio 0.6055, byte miss ratio 0.6055
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   245304, 19087784 req, miss ratio 0.5433, byte miss ratio 0.5433
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   490609, 19087784 req, miss ratio 0.5136, byte miss ratio 0.5136
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   981219, 19087784 req, miss ratio 0.4420, byte miss ratio 0.4420
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1962438, 19087784 req, miss ratio 0.3389, byte miss ratio 0.3389
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4906, 19087784 req, miss ratio 0.9082, byte miss ratio 0.9082
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    24530, 19087784 req, miss ratio 0.7176, byte miss ratio 0.7176
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    49060, 19087784 req, miss ratio 0.6555, byte miss ratio 0.6555
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    98121, 19087784 req, miss ratio 0.6054, byte miss ratio 0.6054
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   245304, 19087784 req, miss ratio 0.5538, byte miss ratio 0.5538
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   490609, 19087784 req, miss ratio 0.5243, byte miss ratio 0.5243
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   981219, 19087784 req, miss ratio 0.4077, byte miss ratio 0.4077
result/w29.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  1962438, 19087784 req, miss ratio 0.3045, byte miss ratio 0.3045
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4906, 19087784 req, miss ratio 0.9199, byte miss ratio 0.9199
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    24530, 19087784 req, miss ratio 0.7524, byte miss ratio 0.7524
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    49060, 19087784 req, miss ratio 0.6764, byte miss ratio 0.6764
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    98121, 19087784 req, miss ratio 0.6055, byte miss ratio 0.6055
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   245304, 19087784 req, miss ratio 0.5433, byte miss ratio 0.5433
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   490609, 19087784 req, miss ratio 0.5136, byte miss ratio 0.5136
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   981219, 19087784 req, miss ratio 0.4420, byte miss ratio 0.4420
result/w29.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1962438, 19087784 req, miss ratio 0.3389, byte miss ratio 0.3389
