result/msr_src1_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  2468114, 45746222 req, miss ratio 0.6580, byte miss ratio 0.6580
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size     6170, 45746222 req, miss ratio 0.9798, byte miss ratio 0.9798
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    30851, 45746222 req, miss ratio 0.9584, byte miss ratio 0.9584
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    61702, 45746222 req, miss ratio 0.9439, byte miss ratio 0.9439
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   123405, 45746222 req, miss ratio 0.9167, byte miss ratio 0.9167
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   308514, 45746222 req, miss ratio 0.8626, byte miss ratio 0.8626
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   617028, 45746222 req, miss ratio 0.8059, byte miss ratio 0.8059
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size  1234057, 45746222 req, miss ratio 0.7275, byte miss ratio 0.7275
result/msr_src1_1.oracleGeneral                  S3FIFO-0.1000-2 cache size  2468114, 45746222 req, miss ratio 0.7104, byte miss ratio 0.7104
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     6170, 45746222 req, miss ratio 0.9788, byte miss ratio 0.9788
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    30851, 45746222 req, miss ratio 0.9464, byte miss ratio 0.9464
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    61702, 45746222 req, miss ratio 0.9273, byte miss ratio 0.9273
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   123405, 45746222 req, miss ratio 0.9005, byte miss ratio 0.9005
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   308514, 45746222 req, miss ratio 0.8622, byte miss ratio 0.8622
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   617028, 45746222 req, miss ratio 0.8321, byte miss ratio 0.8321
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  1234057, 45746222 req, miss ratio 0.6593, byte miss ratio 0.6593
result/msr_src1_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  2468114, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6170, 45746222 req, miss ratio 0.9810, byte miss ratio 0.9810
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    30851, 45746222 req, miss ratio 0.9571, byte miss ratio 0.9571
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    61702, 45746222 req, miss ratio 0.9466, byte miss ratio 0.9466
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   123405, 45746222 req, miss ratio 0.9301, byte miss ratio 0.9301
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   308514, 45746222 req, miss ratio 0.9038, byte miss ratio 0.9038
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   617028, 45746222 req, miss ratio 0.8819, byte miss ratio 0.8819
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1234057, 45746222 req, miss ratio 0.6925, byte miss ratio 0.6925
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  2468114, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     6170, 45746222 req, miss ratio 0.9803, byte miss ratio 0.9803
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    30851, 45746222 req, miss ratio 0.9611, byte miss ratio 0.9611
