result/msr_prxy_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    15568, 12518968 req, miss ratio 0.0468, byte miss ratio 0.0468
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    31136, 12518968 req, miss ratio 0.0262, byte miss ratio 0.0262
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    62272, 12518968 req, miss ratio 0.0166, byte miss ratio 0.0166
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   124544, 12518968 req, miss ratio 0.0134, byte miss ratio 0.0134
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      155, 12518968 req, miss ratio 0.8951, byte miss ratio 0.8951
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      467, 12518968 req, miss ratio 0.8750, byte miss ratio 0.8750
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1556, 12518968 req, miss ratio 0.2724, byte miss ratio 0.2724
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4670, 12518968 req, miss ratio 0.0715, byte miss ratio 0.0715
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    15568, 12518968 req, miss ratio 0.0465, byte miss ratio 0.0465
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    31136, 12518968 req, miss ratio 0.0256, byte miss ratio 0.0256
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    62272, 12518968 req, miss ratio 0.0162, byte miss ratio 0.0162
result/msr_prxy_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      155, 12518968 req, miss ratio 0.8789, byte miss ratio 0.8789
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      467, 12518968 req, miss ratio 0.8437, byte miss ratio 0.8437
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1556, 12518968 req, miss ratio 0.2814, byte miss ratio 0.2814
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     4670, 12518968 req, miss ratio 0.0719, byte miss ratio 0.0719
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    15568, 12518968 req, miss ratio 0.0467, byte miss ratio 0.0467
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    31136, 12518968 req, miss ratio 0.0261, byte miss ratio 0.0261
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    62272, 12518968 req, miss ratio 0.0166, byte miss ratio 0.0166
result/msr_prxy_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   124544, 12518968 req, miss ratio 0.0134, byte miss ratio 0.0134
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      155, 12518968 req, miss ratio 0.9095, byte miss ratio 0.9095
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      467, 12518968 req, miss ratio 0.8562, byte miss ratio 0.8562
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1556, 12518968 req, miss ratio 0.3000, byte miss ratio 0.3000
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4670, 12518968 req, miss ratio 0.0927, byte miss ratio 0.0927
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    15568, 12518968 req, miss ratio 0.0760, byte miss ratio 0.0760
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    31136, 12518968 req, miss ratio 0.0572, byte miss ratio 0.0572
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    62272, 12518968 req, miss ratio 0.0200, byte miss ratio 0.0200
result/msr_prxy_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      155, 12518968 req, miss ratio 0.8901, byte miss ratio 0.8901
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      467, 12518968 req, miss ratio 0.8642, byte miss ratio 0.8642
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1556, 12518968 req, miss ratio 0.2772, byte miss ratio 0.2772
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     4670, 12518968 req, miss ratio 0.0720, byte miss ratio 0.0720
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    15568, 12518968 req, miss ratio 0.0468, byte miss ratio 0.0468
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    31136, 12518968 req, miss ratio 0.0294, byte miss ratio 0.0294
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    62272, 12518968 req, miss ratio 0.0238, byte miss ratio 0.0238
result/msr_prxy_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   124544, 12518968 req, miss ratio 0.0234, byte miss ratio 0.0234
