result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      286, 4224524 req, miss ratio 0.7185, byte miss ratio 0.7185
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      858, 4224524 req, miss ratio 0.6075, byte miss ratio 0.6075
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2862, 4224524 req, miss ratio 0.4702, byte miss ratio 0.4702
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     8586, 4224524 req, miss ratio 0.3774, byte miss ratio 0.3774
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    28622, 4224524 req, miss ratio 0.2206, byte miss ratio 0.2206
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    57245, 4224524 req, miss ratio 0.1417, byte miss ratio 0.1417
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   114491, 4224524 req, miss ratio 0.0917, byte miss ratio 0.0917
result/msr_proj_0.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   228982, 4224524 req, miss ratio 0.0684, byte miss ratio 0.0684
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7162, byte miss ratio 0.7162
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      858, 4224524 req, miss ratio 0.6089, byte miss ratio 0.6089
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4721, byte miss ratio 0.4721
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8586, 4224524 req, miss ratio 0.3744, byte miss ratio 0.3744
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2232, byte miss ratio 0.2232
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1431, byte miss ratio 0.1431
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0843, byte miss ratio 0.0843
result/msr_proj_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   228982, 4224524 req, miss ratio 0.0686, byte miss ratio 0.0686
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7257, byte miss ratio 0.7257
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      858, 4224524 req, miss ratio 0.6112, byte miss ratio 0.6112
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4739, byte miss ratio 0.4739
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     8586, 4224524 req, miss ratio 0.3796, byte miss ratio 0.3796
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2224, byte miss ratio 0.2224
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1446, byte miss ratio 0.1446
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0838, byte miss ratio 0.0838
result/msr_proj_0.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   228982, 4224524 req, miss ratio 0.0686, byte miss ratio 0.0686
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      286, 4224524 req, miss ratio 0.7849, byte miss ratio 0.7849
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      858, 4224524 req, miss ratio 0.7698, byte miss ratio 0.7698
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2862, 4224524 req, miss ratio 0.7271, byte miss ratio 0.7271
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8586, 4224524 req, miss ratio 0.6283, byte miss ratio 0.6283
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    28622, 4224524 req, miss ratio 0.4163, byte miss ratio 0.4163
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    57245, 4224524 req, miss ratio 0.2642, byte miss ratio 0.2642
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   114491, 4224524 req, miss ratio 0.0951, byte miss ratio 0.0951
result/msr_proj_0.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   228982, 4224524 req, miss ratio 0.0684, byte miss ratio 0.0684
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      286, 4224524 req, miss ratio 0.7179, byte miss ratio 0.7179
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      858, 4224524 req, miss ratio 0.6071, byte miss ratio 0.6071
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2862, 4224524 req, miss ratio 0.4702, byte miss ratio 0.4702
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     8586, 4224524 req, miss ratio 0.3774, byte miss ratio 0.3774
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    28622, 4224524 req, miss ratio 0.2206, byte miss ratio 0.2206
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    57245, 4224524 req, miss ratio 0.1420, byte miss ratio 0.1420
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   114491, 4224524 req, miss ratio 0.0914, byte miss ratio 0.0914
result/msr_proj_0.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   228982, 4224524 req, miss ratio 0.0684, byte miss ratio 0.0684
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7150, byte miss ratio 0.7150
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      858, 4224524 req, miss ratio 0.6064, byte miss ratio 0.6064
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4715, byte miss ratio 0.4715
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8586, 4224524 req, miss ratio 0.3792, byte miss ratio 0.3792
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2246, byte miss ratio 0.2246
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1476, byte miss ratio 0.1476
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.1104, byte miss ratio 0.1104
result/msr_proj_0.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   228982, 4224524 req, miss ratio 0.1021, byte miss ratio 0.1021
result/msr_proj_0.oracleGeneral                             FIFO cache size      286, 4224524 req, miss ratio 0.7853, byte miss ratio 0.7853
result/msr_proj_0.oracleGeneral                             FIFO cache size     1431, 4224524 req, miss ratio 0.6626, byte miss ratio 0.6626
result/msr_proj_0.oracleGeneral                             FIFO cache size     2862, 4224524 req, miss ratio 0.5596, byte miss ratio 0.5596
result/msr_proj_0.oracleGeneral                             FIFO cache size     5724, 4224524 req, miss ratio 0.4728, byte miss ratio 0.4728
result/msr_proj_0.oracleGeneral                             FIFO cache size    14311, 4224524 req, miss ratio 0.3624, byte miss ratio 0.3624
result/msr_proj_0.oracleGeneral                             FIFO cache size    28622, 4224524 req, miss ratio 0.2632, byte miss ratio 0.2632
result/msr_proj_0.oracleGeneral                             FIFO cache size    57245, 4224524 req, miss ratio 0.1787, byte miss ratio 0.1787
result/msr_proj_0.oracleGeneral                             FIFO cache size   114491, 4224524 req, miss ratio 0.1044, byte miss ratio 0.1044
result/msr_proj_0.oracleGeneral                              LFU cache size      286, 4224524 req, miss ratio 0.8018, byte miss ratio 0.8018
result/msr_proj_0.oracleGeneral                              LFU cache size     1431, 4224524 req, miss ratio 0.7761, byte miss ratio 0.7761
result/msr_proj_0.oracleGeneral                              LFU cache size     2862, 4224524 req, miss ratio 0.7519, byte miss ratio 0.7519
result/msr_proj_0.oracleGeneral                              LFU cache size     5724, 4224524 req, miss ratio 0.7263, byte miss ratio 0.7263
result/msr_proj_0.oracleGeneral                              LFU cache size    14311, 4224524 req, miss ratio 0.6581, byte miss ratio 0.6581
result/msr_proj_0.oracleGeneral                              LFU cache size    28622, 4224524 req, miss ratio 0.5580, byte miss ratio 0.5580
result/msr_proj_0.oracleGeneral                              LFU cache size    57245, 4224524 req, miss ratio 0.3550, byte miss ratio 0.3550
result/msr_proj_0.oracleGeneral                              LFU cache size   114491, 4224524 req, miss ratio 0.1577, byte miss ratio 0.1577
result/msr_proj_0.oracleGeneral                              LRU cache size      286, 4224524 req, miss ratio 0.7748, byte miss ratio 0.7748
result/msr_proj_0.oracleGeneral                              LRU cache size     1431, 4224524 req, miss ratio 0.6460, byte miss ratio 0.6460
result/msr_proj_0.oracleGeneral                              LRU cache size     2862, 4224524 req, miss ratio 0.5235, byte miss ratio 0.5235
result/msr_proj_0.oracleGeneral                              LRU cache size     5724, 4224524 req, miss ratio 0.4397, byte miss ratio 0.4397
result/msr_proj_0.oracleGeneral                              LRU cache size    14311, 4224524 req, miss ratio 0.3395, byte miss ratio 0.3395
result/msr_proj_0.oracleGeneral                              LRU cache size    28622, 4224524 req, miss ratio 0.2375, byte miss ratio 0.2375
result/msr_proj_0.oracleGeneral                              LRU cache size    57245, 4224524 req, miss ratio 0.1557, byte miss ratio 0.1557
result/msr_proj_0.oracleGeneral                              LRU cache size   114491, 4224524 req, miss ratio 0.0936, byte miss ratio 0.0936
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7162, byte miss ratio 0.7162
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size     1431, 4224524 req, miss ratio 0.5461, byte miss ratio 0.5461
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4721, byte miss ratio 0.4721
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size     5724, 4224524 req, miss ratio 0.4136, byte miss ratio 0.4136
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    14311, 4224524 req, miss ratio 0.3176, byte miss ratio 0.3176
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2232, byte miss ratio 0.2232
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1431, byte miss ratio 0.1431
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0843, byte miss ratio 0.0843
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7257, byte miss ratio 0.7257
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     1431, 4224524 req, miss ratio 0.5471, byte miss ratio 0.5471
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4739, byte miss ratio 0.4739
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     5724, 4224524 req, miss ratio 0.4185, byte miss ratio 0.4185
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    14311, 4224524 req, miss ratio 0.3172, byte miss ratio 0.3172
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2224, byte miss ratio 0.2224
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1446, byte miss ratio 0.1446
result/msr_proj_0.oracleGeneral                  S4FIFO-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0838, byte miss ratio 0.0838
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7149, byte miss ratio 0.7149
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     1431, 4224524 req, miss ratio 0.5452, byte miss ratio 0.5452
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4697, byte miss ratio 0.4697
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     5724, 4224524 req, miss ratio 0.4149, byte miss ratio 0.4149
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    14311, 4224524 req, miss ratio 0.3175, byte miss ratio 0.3175
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2221, byte miss ratio 0.2221
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1435, byte miss ratio 0.1435
result/msr_proj_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0861, byte miss ratio 0.0861
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7148, byte miss ratio 0.7148
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     1431, 4224524 req, miss ratio 0.5451, byte miss ratio 0.5451
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4697, byte miss ratio 0.4697
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     5724, 4224524 req, miss ratio 0.4148, byte miss ratio 0.4148
