result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2497, byte miss ratio 0.2497
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2091, byte miss ratio 0.2091
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1738860, 11233411 req, miss ratio 0.2020, byte miss ratio 0.2020
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8196, byte miss ratio 0.8196
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     6520, 11233411 req, miss ratio 0.7610, byte miss ratio 0.7610
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6763, byte miss ratio 0.6763
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    65207, 11233411 req, miss ratio 0.5299, byte miss ratio 0.5299
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.3781, byte miss ratio 0.3781
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2393, byte miss ratio 0.2393
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2091, byte miss ratio 0.2091
result/msr_prn_1.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1738860, 11233411 req, miss ratio 0.2020, byte miss ratio 0.2020
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2173, 11233411 req, miss ratio 0.8545, byte miss ratio 0.8545
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6520, 11233411 req, miss ratio 0.8048, byte miss ratio 0.8048
