result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    16844, 17836701 req, miss ratio 0.4350, byte miss ratio 0.4350
result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    50532, 17836701 req, miss ratio 0.3777, byte miss ratio 0.3777
result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   168440, 17836701 req, miss ratio 0.2714, byte miss ratio 0.2714
result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   336881, 17836701 req, miss ratio 0.1847, byte miss ratio 0.1847
result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   673762, 17836701 req, miss ratio 0.1157, byte miss ratio 0.1157
result/fiu_homes-110108-112108.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1347525, 17836701 req, miss ratio 0.0964, byte miss ratio 0.0964
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size     1684, 17836701 req, miss ratio 0.5924, byte miss ratio 0.5924
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size     8422, 17836701 req, miss ratio 0.4989, byte miss ratio 0.4989
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size    16844, 17836701 req, miss ratio 0.4654, byte miss ratio 0.4654
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size    33688, 17836701 req, miss ratio 0.4370, byte miss ratio 0.4370
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size    84220, 17836701 req, miss ratio 0.3724, byte miss ratio 0.3724
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size   168440, 17836701 req, miss ratio 0.3093, byte miss ratio 0.3093
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size   336881, 17836701 req, miss ratio 0.2213, byte miss ratio 0.2213
result/fiu_homes-110108-112108.oracleGeneral                             FIFO cache size   673762, 17836701 req, miss ratio 0.1476, byte miss ratio 0.1476
result/fiu_homes-110108-112108.oracleGeneral                              LFU cache size     1684, 17836701 req, miss ratio 0.7538, byte miss ratio 0.7538
result/fiu_homes-110108-112108.oracleGeneral                              LFU cache size     8422, 17836701 req, miss ratio 0.6822, byte miss ratio 0.6822
result/fiu_homes-110108-112108.oracleGeneral                              LFU cache size    16844, 17836701 req, miss ratio 0.6579, byte miss ratio 0.6579
