result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      136, 3274061 req, miss ratio 0.6719, byte miss ratio 0.6719
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      453, 3274061 req, miss ratio 0.6518, byte miss ratio 0.6518
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1361, 3274061 req, miss ratio 0.6439, byte miss ratio 0.6439
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    18153, 3274061 req, miss ratio 0.4805, byte miss ratio 0.4805
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    36306, 3274061 req, miss ratio 0.0640, byte miss ratio 0.0640
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.8287, byte miss ratio 0.8287
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      136, 3274061 req, miss ratio 0.6846, byte miss ratio 0.6846
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6617, byte miss ratio 0.6617
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1361, 3274061 req, miss ratio 0.6434, byte miss ratio 0.6434
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6433, byte miss ratio 0.6433
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6433, byte miss ratio 0.6433
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.6409, byte miss ratio 0.6409
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    36306, 3274061 req, miss ratio 0.0691, byte miss ratio 0.0691
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size       45, 3274061 req, miss ratio 0.7703, byte miss ratio 0.7703
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      136, 3274061 req, miss ratio 0.6814, byte miss ratio 0.6814
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      453, 3274061 req, miss ratio 0.6599, byte miss ratio 0.6599
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1361, 3274061 req, miss ratio 0.6454, byte miss ratio 0.6454
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    18153, 3274061 req, miss ratio 0.3649, byte miss ratio 0.3649
result/fiu_webresearch-030409-033109.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    36306, 3274061 req, miss ratio 0.0465, byte miss ratio 0.0465
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size       45, 3274061 req, miss ratio 0.7654, byte miss ratio 0.7654
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      136, 3274061 req, miss ratio 0.6719, byte miss ratio 0.6719
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      453, 3274061 req, miss ratio 0.6518, byte miss ratio 0.6518
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1361, 3274061 req, miss ratio 0.6439, byte miss ratio 0.6439
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     4538, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9076, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    18153, 3274061 req, miss ratio 0.4548, byte miss ratio 0.4548
result/fiu_webresearch-030409-033109.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    36306, 3274061 req, miss ratio 0.0651, byte miss ratio 0.0651
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7661, byte miss ratio 0.7661
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      136, 3274061 req, miss ratio 0.6725, byte miss ratio 0.6725
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6524, byte miss ratio 0.6524
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1361, 3274061 req, miss ratio 0.6448, byte miss ratio 0.6448
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6438, byte miss ratio 0.6438
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6435, byte miss ratio 0.6435
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4367, byte miss ratio 0.4367
result/fiu_webresearch-030409-033109.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    36306, 3274061 req, miss ratio 0.0791, byte miss ratio 0.0791
