result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       72, 3600000 req, miss ratio 0.3672, byte miss ratio 0.3672
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      218, 3600000 req, miss ratio 0.3232, byte miss ratio 0.3232
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      727, 3600000 req, miss ratio 0.3000, byte miss ratio 0.3000
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2183, 3600000 req, miss ratio 0.2791, byte miss ratio 0.2791
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7278, 3600000 req, miss ratio 0.2464, byte miss ratio 0.2464
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    14556, 3600000 req, miss ratio 0.2091, byte miss ratio 0.2091
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    29113, 3600000 req, miss ratio 0.0895, byte miss ratio 0.0895
result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    58226, 3600000 req, miss ratio 0.0205, byte miss ratio 0.0205
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       72, 3600000 req, miss ratio 0.3570, byte miss ratio 0.3570
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      218, 3600000 req, miss ratio 0.3206, byte miss ratio 0.3206
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      727, 3600000 req, miss ratio 0.2987, byte miss ratio 0.2987
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2183, 3600000 req, miss ratio 0.2773, byte miss ratio 0.2773
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7278, 3600000 req, miss ratio 0.2452, byte miss ratio 0.2452
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    14556, 3600000 req, miss ratio 0.2145, byte miss ratio 0.2145
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    29113, 3600000 req, miss ratio 0.0892, byte miss ratio 0.0892
result/io_traces.ns364.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    58226, 3600000 req, miss ratio 0.0205, byte miss ratio 0.0205
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size       72, 3600000 req, miss ratio 0.4489, byte miss ratio 0.4489
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size      218, 3600000 req, miss ratio 0.3977, byte miss ratio 0.3977
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size      727, 3600000 req, miss ratio 0.3349, byte miss ratio 0.3349
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size     2183, 3600000 req, miss ratio 0.3077, byte miss ratio 0.3077
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size     7278, 3600000 req, miss ratio 0.2919, byte miss ratio 0.2919
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size    14556, 3600000 req, miss ratio 0.2261, byte miss ratio 0.2261
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size    29113, 3600000 req, miss ratio 0.1027, byte miss ratio 0.1027
result/io_traces.ns364.oracleGeneral.bin                             FIFO cache size    58226, 3600000 req, miss ratio 0.0301, byte miss ratio 0.0301
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size       72, 3600000 req, miss ratio 0.4230, byte miss ratio 0.4230
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size      218, 3600000 req, miss ratio 0.3764, byte miss ratio 0.3764
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size      727, 3600000 req, miss ratio 0.3065, byte miss ratio 0.3065
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size     2183, 3600000 req, miss ratio 0.2940, byte miss ratio 0.2940
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size     7278, 3600000 req, miss ratio 0.2859, byte miss ratio 0.2859
