result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1225, 11800000 req, miss ratio 0.5155, byte miss ratio 0.5155
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3675, 11800000 req, miss ratio 0.4554, byte miss ratio 0.4554
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12251, 11800000 req, miss ratio 0.3357, byte miss ratio 0.3357
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36754, 11800000 req, miss ratio 0.2807, byte miss ratio 0.2807
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   122513, 11800000 req, miss ratio 0.1599, byte miss ratio 0.1599
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   245027, 11800000 req, miss ratio 0.1351, byte miss ratio 0.1351
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   490055, 11800000 req, miss ratio 0.1171, byte miss ratio 0.1171
result/io_traces.ns339.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   980110, 11800000 req, miss ratio 0.1043, byte miss ratio 0.1043
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1225, 11800000 req, miss ratio 0.5161, byte miss ratio 0.5161
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3675, 11800000 req, miss ratio 0.4593, byte miss ratio 0.4593
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12251, 11800000 req, miss ratio 0.3430, byte miss ratio 0.3430
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36754, 11800000 req, miss ratio 0.2820, byte miss ratio 0.2820
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   122513, 11800000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   245027, 11800000 req, miss ratio 0.1353, byte miss ratio 0.1353
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   490055, 11800000 req, miss ratio 0.1171, byte miss ratio 0.1171
result/io_traces.ns339.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   980110, 11800000 req, miss ratio 0.1043, byte miss ratio 0.1043
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size     1225, 11800000 req, miss ratio 0.6289, byte miss ratio 0.6289
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size     3675, 11800000 req, miss ratio 0.5594, byte miss ratio 0.5594
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size    12251, 11800000 req, miss ratio 0.3318, byte miss ratio 0.3318
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size    36754, 11800000 req, miss ratio 0.2390, byte miss ratio 0.2390
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size   122513, 11800000 req, miss ratio 0.1789, byte miss ratio 0.1789
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size   245027, 11800000 req, miss ratio 0.1445, byte miss ratio 0.1445
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size   490055, 11800000 req, miss ratio 0.1197, byte miss ratio 0.1197
result/io_traces.ns339.oracleGeneral.bin                             FIFO cache size   980110, 11800000 req, miss ratio 0.1076, byte miss ratio 0.1076
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size     1225, 11800000 req, miss ratio 0.5782, byte miss ratio 0.5782
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size     3675, 11800000 req, miss ratio 0.5370, byte miss ratio 0.5370
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size    12251, 11800000 req, miss ratio 0.2802, byte miss ratio 0.2802
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size    36754, 11800000 req, miss ratio 0.2268, byte miss ratio 0.2268
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size   122513, 11800000 req, miss ratio 0.1623, byte miss ratio 0.1623
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size   245027, 11800000 req, miss ratio 0.1309, byte miss ratio 0.1309
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size   490055, 11800000 req, miss ratio 0.1174, byte miss ratio 0.1174
result/io_traces.ns339.oracleGeneral.bin                              LRU cache size   980110, 11800000 req, miss ratio 0.1042, byte miss ratio 0.1042
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1225, 11800000 req, miss ratio 0.5262, byte miss ratio 0.5262
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3675, 11800000 req, miss ratio 0.4544, byte miss ratio 0.4544
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12251, 11800000 req, miss ratio 0.2872, byte miss ratio 0.2872
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    36754, 11800000 req, miss ratio 0.2334, byte miss ratio 0.2334
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   122513, 11800000 req, miss ratio 0.1626, byte miss ratio 0.1626
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   245027, 11800000 req, miss ratio 0.1326, byte miss ratio 0.1326
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   490055, 11800000 req, miss ratio 0.1140, byte miss ratio 0.1140
result/io_traces.ns339.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   980110, 11800000 req, miss ratio 0.1044, byte miss ratio 0.1044
