result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      334, 2400000 req, miss ratio 0.3956, byte miss ratio 0.3956
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1003, 2400000 req, miss ratio 0.3478, byte miss ratio 0.3478
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3346, 2400000 req, miss ratio 0.2930, byte miss ratio 0.2930
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10039, 2400000 req, miss ratio 0.2457, byte miss ratio 0.2457
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    33465, 2400000 req, miss ratio 0.1817, byte miss ratio 0.1817
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    66930, 2400000 req, miss ratio 0.1656, byte miss ratio 0.1656
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   133861, 2400000 req, miss ratio 0.1497, byte miss ratio 0.1497
result/io_traces.ns344.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   267723, 2400000 req, miss ratio 0.1411, byte miss ratio 0.1411
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      334, 2400000 req, miss ratio 0.3914, byte miss ratio 0.3914
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1003, 2400000 req, miss ratio 0.3476, byte miss ratio 0.3476
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3346, 2400000 req, miss ratio 0.2927, byte miss ratio 0.2927
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10039, 2400000 req, miss ratio 0.2501, byte miss ratio 0.2501
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    33465, 2400000 req, miss ratio 0.1819, byte miss ratio 0.1819
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    66930, 2400000 req, miss ratio 0.1656, byte miss ratio 0.1656
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   133861, 2400000 req, miss ratio 0.1497, byte miss ratio 0.1497
result/io_traces.ns344.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   267723, 2400000 req, miss ratio 0.1411, byte miss ratio 0.1411
