result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1139, 14600000 req, miss ratio 0.4679, byte miss ratio 0.4679
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3417, 14600000 req, miss ratio 0.3584, byte miss ratio 0.3584
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    11391, 14600000 req, miss ratio 0.3010, byte miss ratio 0.3010
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    34175, 14600000 req, miss ratio 0.1708, byte miss ratio 0.1708
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   113919, 14600000 req, miss ratio 0.0818, byte miss ratio 0.0818
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   227838, 14600000 req, miss ratio 0.0805, byte miss ratio 0.0805
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   455676, 14600000 req, miss ratio 0.0787, byte miss ratio 0.0787
result/io_traces.ns96.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   911352, 14600000 req, miss ratio 0.0780, byte miss ratio 0.0780
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1139, 14600000 req, miss ratio 0.4628, byte miss ratio 0.4628
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3417, 14600000 req, miss ratio 0.3543, byte miss ratio 0.3543
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    11391, 14600000 req, miss ratio 0.2954, byte miss ratio 0.2954
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    34175, 14600000 req, miss ratio 0.1658, byte miss ratio 0.1658
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   113919, 14600000 req, miss ratio 0.0818, byte miss ratio 0.0818
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   227838, 14600000 req, miss ratio 0.0805, byte miss ratio 0.0805
result/io_traces.ns96.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   455676, 14600000 req, miss ratio 0.0787, byte miss ratio 0.0787
