result/msr_prn_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    14227, 5585886 req, miss ratio 0.2858, byte miss ratio 0.2858
result/msr_prn_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    35569, 5585886 req, miss ratio 0.2566, byte miss ratio 0.2566
result/msr_prn_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2195, byte miss ratio 0.2195
result/msr_prn_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1769, byte miss ratio 0.1769
result/msr_prn_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3810, byte miss ratio 0.3810
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     3556, 5585886 req, miss ratio 0.3348, byte miss ratio 0.3348
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     7113, 5585886 req, miss ratio 0.3181, byte miss ratio 0.3181
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    14227, 5585886 req, miss ratio 0.3018, byte miss ratio 0.3018
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    35569, 5585886 req, miss ratio 0.2608, byte miss ratio 0.2608
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2142, byte miss ratio 0.2142
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1792, byte miss ratio 0.1792
result/msr_prn_0.oracleGeneral                  S4FIFO-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1368, byte miss ratio 0.1368
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3781, byte miss ratio 0.3781
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     3556, 5585886 req, miss ratio 0.3327, byte miss ratio 0.3327
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     7113, 5585886 req, miss ratio 0.3164, byte miss ratio 0.3164
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    14227, 5585886 req, miss ratio 0.2989, byte miss ratio 0.2989
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    35569, 5585886 req, miss ratio 0.2594, byte miss ratio 0.2594
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2149, byte miss ratio 0.2149
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1764, byte miss ratio 0.1764
result/msr_prn_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1373, byte miss ratio 0.1373
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3781, byte miss ratio 0.3781
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     3556, 5585886 req, miss ratio 0.3327, byte miss ratio 0.3327
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     7113, 5585886 req, miss ratio 0.3160, byte miss ratio 0.3160
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    14227, 5585886 req, miss ratio 0.2975, byte miss ratio 0.2975
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    35569, 5585886 req, miss ratio 0.2582, byte miss ratio 0.2582
