result/msr_src1_0.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  2263736, 37415613 req, miss ratio 0.5735, byte miss ratio 0.5735
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size     5659, 37415613 req, miss ratio 0.9911, byte miss ratio 0.9911
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    28296, 37415613 req, miss ratio 0.9749, byte miss ratio 0.9749
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    56593, 37415613 req, miss ratio 0.9578, byte miss ratio 0.9578
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   113186, 37415613 req, miss ratio 0.9309, byte miss ratio 0.9309
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   282967, 37415613 req, miss ratio 0.8725, byte miss ratio 0.8725
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   565934, 37415613 req, miss ratio 0.7984, byte miss ratio 0.7984
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size  1131868, 37415613 req, miss ratio 0.7663, byte miss ratio 0.7663
result/msr_src1_0.oracleGeneral                  S3FIFO-0.1000-2 cache size  2263736, 37415613 req, miss ratio 0.3487, byte miss ratio 0.3487
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     5659, 37415613 req, miss ratio 0.9925, byte miss ratio 0.9925
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    28296, 37415613 req, miss ratio 0.9703, byte miss ratio 0.9703
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    56593, 37415613 req, miss ratio 0.9504, byte miss ratio 0.9504
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   113186, 37415613 req, miss ratio 0.9213, byte miss ratio 0.9213
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   282967, 37415613 req, miss ratio 0.8630, byte miss ratio 0.8630
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   565934, 37415613 req, miss ratio 0.7796, byte miss ratio 0.7796
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  1131868, 37415613 req, miss ratio 0.6363, byte miss ratio 0.6363
result/msr_src1_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  2263736, 37415613 req, miss ratio 0.3234, byte miss ratio 0.3234
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     5659, 37415613 req, miss ratio 0.9908, byte miss ratio 0.9908
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    28296, 37415613 req, miss ratio 0.9750, byte miss ratio 0.9750
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    56593, 37415613 req, miss ratio 0.9606, byte miss ratio 0.9606
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   113186, 37415613 req, miss ratio 0.9434, byte miss ratio 0.9434
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   282967, 37415613 req, miss ratio 0.8813, byte miss ratio 0.8813
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   565934, 37415613 req, miss ratio 0.7941, byte miss ratio 0.7941
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1131868, 37415613 req, miss ratio 0.7544, byte miss ratio 0.7544
result/msr_src1_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  2263736, 37415613 req, miss ratio 0.4050, byte miss ratio 0.4050
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     5659, 37415613 req, miss ratio 0.9911, byte miss ratio 0.9911
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    28296, 37415613 req, miss ratio 0.9762, byte miss ratio 0.9762
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    56593, 37415613 req, miss ratio 0.9640, byte miss ratio 0.9640
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   113186, 37415613 req, miss ratio 0.9398, byte miss ratio 0.9398
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   282967, 37415613 req, miss ratio 0.8770, byte miss ratio 0.8770
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   565934, 37415613 req, miss ratio 0.7973, byte miss ratio 0.7973
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  1131868, 37415613 req, miss ratio 0.7920, byte miss ratio 0.7920
result/msr_src1_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  2263736, 37415613 req, miss ratio 0.3600, byte miss ratio 0.3600
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size     5659, 37415613 req, miss ratio 0.9912, byte miss ratio 0.9912
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size    28296, 37415613 req, miss ratio 0.9757, byte miss ratio 0.9757
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size    56593, 37415613 req, miss ratio 0.9627, byte miss ratio 0.9627
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size   113186, 37415613 req, miss ratio 0.9419, byte miss ratio 0.9419
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size   282967, 37415613 req, miss ratio 0.8797, byte miss ratio 0.8797
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size   565934, 37415613 req, miss ratio 0.7974, byte miss ratio 0.7974
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size  1131868, 37415613 req, miss ratio 0.7376, byte miss ratio 0.7376
result/msr_src1_0.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size  2263736, 37415613 req, miss ratio 0.4052, byte miss ratio 0.4052
