result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      581, 3787344 req, miss ratio 0.9062, byte miss ratio 0.9062
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1744, 3787344 req, miss ratio 0.8694, byte miss ratio 0.8694
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     5813, 3787344 req, miss ratio 0.8145, byte miss ratio 0.8145
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    17440, 3787344 req, miss ratio 0.7149, byte miss ratio 0.7149
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    58136, 3787344 req, miss ratio 0.5190, byte miss ratio 0.5190
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   116272, 3787344 req, miss ratio 0.3570, byte miss ratio 0.3570
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   232545, 3787344 req, miss ratio 0.2260, byte miss ratio 0.2260
result/w96.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   465091, 3787344 req, miss ratio 0.1576, byte miss ratio 0.1576
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      581, 3787344 req, miss ratio 0.9030, byte miss ratio 0.9030
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1744, 3787344 req, miss ratio 0.8626, byte miss ratio 0.8626
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     5813, 3787344 req, miss ratio 0.8015, byte miss ratio 0.8015
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    17440, 3787344 req, miss ratio 0.7070, byte miss ratio 0.7070
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    58136, 3787344 req, miss ratio 0.5125, byte miss ratio 0.5125
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   116272, 3787344 req, miss ratio 0.3714, byte miss ratio 0.3714
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   232545, 3787344 req, miss ratio 0.2267, byte miss ratio 0.2267
result/w96.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   465091, 3787344 req, miss ratio 0.1566, byte miss ratio 0.1566
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      581, 3787344 req, miss ratio 0.9196, byte miss ratio 0.9196
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1744, 3787344 req, miss ratio 0.8880, byte miss ratio 0.8880
