result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      720, 4814234 req, miss ratio 0.6223, byte miss ratio 0.6223
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2160, 4814234 req, miss ratio 0.4636, byte miss ratio 0.4636
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7201, 4814234 req, miss ratio 0.4247, byte miss ratio 0.4247
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    21604, 4814234 req, miss ratio 0.3640, byte miss ratio 0.3640
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72016, 4814234 req, miss ratio 0.2803, byte miss ratio 0.2803
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   144033, 4814234 req, miss ratio 0.2305, byte miss ratio 0.2305
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   288066, 4814234 req, miss ratio 0.1872, byte miss ratio 0.1872
result/w84.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   576132, 4814234 req, miss ratio 0.1524, byte miss ratio 0.1524
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      720, 4814234 req, miss ratio 0.6202, byte miss ratio 0.6202
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2160, 4814234 req, miss ratio 0.4674, byte miss ratio 0.4674
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7201, 4814234 req, miss ratio 0.4210, byte miss ratio 0.4210
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    21604, 4814234 req, miss ratio 0.3579, byte miss ratio 0.3579
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    72016, 4814234 req, miss ratio 0.2800, byte miss ratio 0.2800
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   144033, 4814234 req, miss ratio 0.2263, byte miss ratio 0.2263
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   288066, 4814234 req, miss ratio 0.1872, byte miss ratio 0.1872
result/w84.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   576132, 4814234 req, miss ratio 0.1524, byte miss ratio 0.1524
result/w84.oracleGeneral.bin                              LRU cache size      720, 4814234 req, miss ratio 0.6641, byte miss ratio 0.6641
result/w84.oracleGeneral.bin                              LRU cache size     2160, 4814234 req, miss ratio 0.5961, byte miss ratio 0.5961
result/w84.oracleGeneral.bin                              LRU cache size     7201, 4814234 req, miss ratio 0.4437, byte miss ratio 0.4437
result/w84.oracleGeneral.bin                              LRU cache size    21604, 4814234 req, miss ratio 0.4000, byte miss ratio 0.4000
result/w84.oracleGeneral.bin                              LRU cache size    72016, 4814234 req, miss ratio 0.3233, byte miss ratio 0.3233
result/w84.oracleGeneral.bin                              LRU cache size   144033, 4814234 req, miss ratio 0.2612, byte miss ratio 0.2612
result/w84.oracleGeneral.bin                              LRU cache size   288066, 4814234 req, miss ratio 0.1981, byte miss ratio 0.1981
result/w84.oracleGeneral.bin                              LRU cache size   576132, 4814234 req, miss ratio 0.1513, byte miss ratio 0.1513
result/w84.oracleGeneral.bin                             FIFO cache size      720, 4814234 req, miss ratio 0.7044, byte miss ratio 0.7044
result/w84.oracleGeneral.bin                             FIFO cache size     2160, 4814234 req, miss ratio 0.6236, byte miss ratio 0.6236
