result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      654, 3375344 req, miss ratio 0.8685, byte miss ratio 0.8685
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1962, 3375344 req, miss ratio 0.8575, byte miss ratio 0.8575
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     6541, 3375344 req, miss ratio 0.8397, byte miss ratio 0.8397
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    19623, 3375344 req, miss ratio 0.7528, byte miss ratio 0.7528
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    65412, 3375344 req, miss ratio 0.6357, byte miss ratio 0.6357
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   130825, 3375344 req, miss ratio 0.5697, byte miss ratio 0.5697
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   261650, 3375344 req, miss ratio 0.4351, byte miss ratio 0.4351
result/w105.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   523300, 3375344 req, miss ratio 0.2130, byte miss ratio 0.2130
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      654, 3375344 req, miss ratio 0.8687, byte miss ratio 0.8687
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1962, 3375344 req, miss ratio 0.8571, byte miss ratio 0.8571
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     6541, 3375344 req, miss ratio 0.8353, byte miss ratio 0.8353
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    19623, 3375344 req, miss ratio 0.7514, byte miss ratio 0.7514
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    65412, 3375344 req, miss ratio 0.6361, byte miss ratio 0.6361
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   130825, 3375344 req, miss ratio 0.5697, byte miss ratio 0.5697
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   261650, 3375344 req, miss ratio 0.4244, byte miss ratio 0.4244
result/w105.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   523300, 3375344 req, miss ratio 0.2130, byte miss ratio 0.2130
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      654, 3375344 req, miss ratio 0.8697, byte miss ratio 0.8697
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1962, 3375344 req, miss ratio 0.8577, byte miss ratio 0.8577
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     6541, 3375344 req, miss ratio 0.8419, byte miss ratio 0.8419
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    19623, 3375344 req, miss ratio 0.7566, byte miss ratio 0.7566
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    65412, 3375344 req, miss ratio 0.6307, byte miss ratio 0.6307
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   130825, 3375344 req, miss ratio 0.5458, byte miss ratio 0.5458
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   261650, 3375344 req, miss ratio 0.4508, byte miss ratio 0.4508
result/w105.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   523300, 3375344 req, miss ratio 0.2033, byte miss ratio 0.2033
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      654, 3375344 req, miss ratio 0.8696, byte miss ratio 0.8696
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1962, 3375344 req, miss ratio 0.8576, byte miss ratio 0.8576
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     6541, 3375344 req, miss ratio 0.8420, byte miss ratio 0.8420
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    19623, 3375344 req, miss ratio 0.7543, byte miss ratio 0.7543
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    65412, 3375344 req, miss ratio 0.6308, byte miss ratio 0.6308
result/w105.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   130825, 3375344 req, miss ratio 0.5458, byte miss ratio 0.5458
